Francisco Cerundolo,Novak Djokovic,Hamad Medjedovic,player,Ben Shelton,Casper Ruud,Alexander Blockx,Alex De Minaur,Andrey Rublev,Alexander Bublik,Tommy Paul,Alejandro Davidovich Fokina,Frances Tiafoe,Raphael Collignon,Dino Prizmic,Flavio Cobolli,Alejandro Tabilo,Joao Fonseca,Felix Auger Aliassime,Learner Tien,Carlos Alcaraz,Tomas Machac,Jannik Sinner,Daniil Medvedev,Alexander Zverev,Stefanos Tsitsipas,Jiri Lehecka,Lorenzo Musetti,Rafael Jodar,elo,Jakub Mensik,Arthur Fils,Valentin Vacherot,Taylor Fritz
0.921,0.818,0.94,Jannik Sinner,0.885,0.874,0.916,0.884,0.912,0.917,0.902,0.936,0.927,0.92,0.933,0.914,0.938,0.892,0.891,0.891,0.707,0.932,,0.874,0.776,0.94,0.903,0.883,0.864,2319.8,0.891,0.848,0.917,0.93
0.828,0.65,0.866,Carlos Alcaraz,0.762,0.742,0.818,0.76,0.811,0.82,0.792,0.859,0.841,0.826,0.851,0.815,0.863,0.775,0.771,0.772,,0.85,0.293,0.742,0.589,0.866,0.795,0.758,0.725,2166.8,0.771,0.699,0.821,0.846
0.77,0.564,0.818,Alexander Zverev,0.69,0.668,0.758,0.689,0.75,0.761,0.726,0.81,0.787,0.769,0.8,0.755,0.815,0.706,0.702,0.703,0.411,0.798,0.224,0.667,,0.818,0.73,0.686,0.648,2104.3,0.702,0.618,0.762,0.793
0.721,,0.776,Novak Djokovic,0.632,0.608,0.708,0.631,0.698,0.71,0.672,0.766,0.74,0.719,0.755,0.704,0.773,0.649,0.645,0.646,0.35,0.753,0.182,0.607,0.436,0.777,0.676,0.627,0.586,2059.3,0.645,0.555,0.711,0.747
0.674,0.445,0.735,Arthur Fils,0.579,0.554,0.66,0.578,0.649,0.662,0.621,0.724,0.695,0.672,0.712,0.656,0.731,0.597,0.593,0.594,0.301,0.709,0.152,0.553,0.382,0.736,0.625,0.574,0.532,2020.6,0.592,,0.664,0.703
0.646,0.414,0.71,Rafael Jodar,0.548,0.522,0.631,0.546,0.62,0.634,0.591,0.698,0.668,0.644,0.685,0.627,0.706,0.566,0.562,0.563,0.275,0.682,0.136,0.522,0.352,0.71,0.595,0.543,,1998.6,0.561,0.468,0.635,0.675
0.626,0.393,0.692,Daniil Medvedev,0.527,0.501,0.611,0.525,0.599,0.613,0.57,0.68,0.648,0.624,0.666,0.606,0.687,0.545,0.54,0.541,0.258,0.663,0.126,,0.333,0.692,0.574,0.521,0.478,1983.6,0.54,0.447,0.615,0.656
0.625,0.392,0.691,Casper Ruud,0.526,,0.61,0.524,0.598,0.613,0.569,0.679,0.648,0.623,0.666,0.605,0.687,0.544,0.54,0.541,0.258,0.663,0.126,0.499,0.332,0.692,0.573,0.521,0.478,1983.1,0.539,0.446,0.614,0.656
0.606,0.373,0.673,Lorenzo Musetti,0.505,0.479,0.59,0.504,0.578,0.593,0.549,0.661,0.629,0.604,0.647,0.586,0.669,0.524,0.519,0.52,0.242,0.644,0.117,0.479,0.314,0.674,0.553,,0.457,1968.8,0.519,0.426,0.594,0.637
0.602,0.369,0.67,Alex De Minaur,0.502,0.476,0.587,,0.575,0.589,0.545,0.658,0.625,0.6,0.644,0.582,0.665,0.52,0.516,0.517,0.24,0.641,0.116,0.475,0.311,0.671,0.549,0.496,0.454,1966.3,0.515,0.422,0.591,0.633
