Alexandra Eala,Belinda Bencic,player,Anastasia Potapova,Barbora Krejcikova,Karolina Muchova,Iga Swiatek,Elina Svitolina,Madison Keys,Tereza Valentova,Karolina Pliskova,Jelena Ostapenko,Marketa Vondrousova,Victoria Mboko,Jasmine Paolini,Hailey Baptiste,Diana Shnaider,Katerina Siniakova,Coco Gauff,Qinwen Zheng,Marta Kostyuk,Naomi Osaka,Jessica Pegula,Anna Kalinskaya,Amanda Anisimova,Elena Rybakina,Iva Jovic,Aryna Sabalenka,Sorana Cirstea,Sonay Kartal,elo,Linda Noskova,Elise Mertens,Mirra Andreeva
0.889,0.8,Aryna Sabalenka,0.857,0.877,0.734,0.703,0.713,0.828,0.902,0.888,0.898,0.865,0.783,0.855,0.902,0.849,0.901,0.69,0.891,0.73,0.815,0.696,0.855,0.861,0.627,0.866,,0.828,0.886,2229.8,0.835,0.871,0.681
0.826,0.704,Elena Rybakina,0.781,0.809,0.622,0.585,0.596,0.741,0.846,0.824,0.84,0.792,0.683,0.778,0.846,0.77,0.845,0.57,0.829,0.617,0.723,0.576,0.778,0.786,,0.793,0.373,0.741,0.822,2139.4,0.751,0.8,0.56
0.789,0.652,Mirra Andreeva,0.737,0.769,0.564,0.525,0.537,0.692,0.812,0.787,0.805,0.75,0.629,0.734,0.812,0.724,0.811,0.51,0.792,0.559,0.673,0.517,0.734,0.743,0.44,0.751,0.319,0.693,0.784,2097.8,0.704,0.759,
0.782,0.642,Coco Gauff,0.729,0.762,0.554,0.515,0.527,0.683,0.806,0.78,0.799,0.742,0.619,0.726,0.805,0.716,0.804,,0.785,0.549,0.664,0.506,0.726,0.735,0.43,0.744,0.31,0.684,0.777,2090.7,0.695,0.752,0.49
0.778,0.636,Jessica Pegula,0.724,0.757,0.547,0.509,0.521,0.678,0.802,0.775,0.794,0.737,0.613,0.72,0.801,0.711,0.8,0.494,0.781,0.542,0.658,,0.721,0.73,0.424,0.739,0.304,0.678,0.772,2086.2,0.69,0.747,0.483
0.772,0.628,Iga Swiatek,0.717,0.751,0.539,,0.512,0.67,0.796,0.769,0.789,0.73,0.605,0.713,0.796,0.704,0.794,0.485,0.775,0.534,0.65,0.491,0.714,0.723,0.415,0.732,0.297,0.671,0.766,2080.1,0.682,0.74,0.475
0.763,0.617,Elina Svitolina,0.707,0.742,0.527,0.488,,0.659,0.788,0.761,0.78,0.721,0.593,0.703,0.788,0.693,0.786,0.473,0.766,0.522,0.639,0.479,0.704,0.713,0.404,0.722,0.287,0.66,0.757,2071.7,0.671,0.731,0.463
0.747,0.596,Marta Kostyuk,0.689,0.725,0.505,0.466,0.478,0.64,0.773,0.745,0.765,0.703,0.572,0.685,0.773,0.675,0.772,0.451,0.75,,0.619,0.458,0.685,0.695,0.383,0.705,0.27,0.64,0.741,2056.7,0.652,0.713,0.441
0.743,0.591,Karolina Muchova,0.684,0.72,,0.461,0.473,0.635,0.77,0.741,0.761,0.699,0.567,0.681,0.769,0.67,0.768,0.446,0.746,0.495,0.614,0.453,0.681,0.691,0.378,0.7,0.266,0.635,0.737,2053.1,0.647,0.709,0.436
0.689,0.525,Victoria Mboko,0.624,0.663,0.433,0.395,0.407,0.571,0.719,0.686,0.709,0.639,,0.62,0.718,0.608,0.717,0.381,0.692,0.428,0.549,0.387,0.62,0.63,0.317,0.641,0.217,0.571,0.682,2006.4,0.584,0.651,0.371
