player2,round,player1,gender,file,tournament,date
Gabriele Felline,F,Jannik Sinner,M,20131001-M-Nike_Junior_Tour-F-Jannik_Sinner-Gabriele_Felline.html,Nike Junior Tour,2013-10-01
Gianluigi Quinzi,QF,Jannik Sinner,M,20190222-M-Bergamo_CH-QF-Jannik_Sinner-Gianluigi_Quinzi.html,Bergamo CH,2019-02-22
Jannik Sinner,F,Roberto Marcora,M,20190224-M-Bergamo_CH-F-Roberto_Marcora-Jannik_Sinner.html,Bergamo CH,2019-02-24
Jannik Sinner,R64,Carlos Alcaraz,M,20190402-M-Alicante_CH-R64-Carlos_Alcaraz-Jannik_Sinner.html,Alicante CH,2019-04-02
Mate Valkusz,R32,Jannik Sinner,M,20190424-M-Budapest-R32-Jannik_Sinner-Mate_Valkusz.html,Budapest,2019-04-24
Jannik Sinner,R16,Laslo Djere,M,20190425-M-Budapest-R16-Laslo_Djere-Jannik_Sinner.html,Budapest,2019-04-25
Jannik Sinner,F,Kamil Majchrzak,M,20190505-M-Ostrava_CH-F-Kamil_Majchrzak-Jannik_Sinner.html,Ostrava CH,2019-05-05
Lorenzo Musetti,PQ,Jannik Sinner,M,20190508-M-Rome_Masters-PQ-Jannik_Sinner-Lorenzo_Musetti.html,Rome Masters,2019-05-08
Jannik Sinner,R64,Steve Johnson,M,20190512-M-Rome_Masters-R64-Steve_Johnson-Jannik_Sinner.html,Rome Masters,2019-05-12
Jannik Sinner,R32,Stefanos Tsitsipas,M,20190516-M-Rome_Masters-R32-Stefanos_Tsitsipas-Jannik_Sinner.html,Rome Masters,2019-05-16
Jannik Sinner,F,Alex Bolt,M,20190804-M-Lexington_CH-F-Alex_Bolt-Jannik_Sinner.html,Lexington CH,2019-08-04
Jannik Sinner,R128,Stan Wawrinka,M,20190827-M-US_Open-R128-Stan_Wawrinka-Jannik_Sinner.html,US Open,2019-08-27
Jannik Sinner,R32,Mikhail Kukushkin,M,20190916-M-St_Petersburg-R32-Mikhail_Kukushkin-Jannik_Sinner.html,St Petersburg,2019-09-16
Jannik Sinner,R32,Kamil Majchrzak,M,20191015-M-Antwerp-R32-Kamil_Majchrzak-Jannik_Sinner.html,Antwerp,2019-10-15
Jannik Sinner,R16,Gael Monfils,M,20191017-M-Antwerp-R16-Gael_Monfils-Jannik_Sinner.html,Antwerp,2019-10-17
Jannik Sinner,QF,Francis Tiafoe,M,20191018-M-Antwerp-QF-Francis_Tiafoe-Jannik_Sinner.html,Antwerp,2019-10-18
Jannik Sinner,SF,Stan Wawrinka,M,20191019-M-Antwerp-SF-Stan_Wawrinka-Jannik_Sinner.html,Antwerp,2019-10-19
Philipp Kohlschreiber,R32,Jannik Sinner,M,20191022-M-Vienna-R32-Jannik_Sinner-Philipp_Kohlschreiber.html,Vienna,2019-10-22
Jannik Sinner,R16,Gael Monfils,M,20191024-M-Vienna-R16-Gael_Monfils-Jannik_Sinner.html,Vienna,2019-10-24
Frances Tiafoe,RR,Jannik Sinner,M,20191105-M-NextGen_Finals-RR-Jannik_Sinner-Frances_Tiafoe.html,NextGen Finals,2019-11-05
Mikael Ymer,RR,Jannik Sinner,M,20191106-M-NextGen_Finals-RR-Jannik_Sinner-Mikael_Ymer.html,NextGen Finals,2019-11-06
Miomir Kecmanovic,SF,Jannik Sinner,M,20191108-M-NextGen_Finals-SF-Jannik_Sinner-Miomir_Kecmanovic.html,NextGen Finals,2019-11-08
Alex De Minaur,F,Jannik Sinner,M,20191109-M-NextGen_Finals-F-Jannik_Sinner-Alex_De_Minaur.html,NextGen Finals,2019-11-09
Jannik Sinner,F,Sebastian Ofner,M,20191117-M-Ortisei_CH-F-Sebastian_Ofner-Jannik_Sinner.html,Ortisei CH,2019-11-17
Benoit Paire,R32,Jannik Sinner,M,20200113-M-Auckland-R32-Jannik_Sinner-Benoit_Paire.html,Auckland,2020-01-13
Marton Fucsovics,R64,Jannik Sinner,M,20200122-M-Australian_Open-R64-Jannik_Sinner-Marton_Fucsovics.html,Australian Open,2020-01-22
Jannik Sinner,R32,Mikael Ymer,M,20200204-M-Montpellier-R32-Mikael_Ymer-Jannik_Sinner.html,Montpellier,2020-02-04
David Goffin,R16,Jannik Sinner,M,20200213-M-Rotterdam-R16-Jannik_Sinner-David_Goffin.html,Rotterdam,2020-02-13
Pablo Carreno Busta,QF,Jannik Sinner,M,20200214-M-Rotterdam-QF-Jannik_Sinner-Pablo_Carreno_Busta.html,Rotterdam,2020-02-14
Daniil Medvedev,R16,Jannik Sinner,M,20200220-M-Marseille-R16-Jannik_Sinner-Daniil_Medvedev.html,Marseille,2020-02-20
Karen Khachanov,R128,Jannik Sinner,M,20200831-M-US_Open-R128-Jannik_Sinner-Karen_Khachanov.html,US Open,2020-08-31
Jannik Sinner,R32,Stefanos Tsitsipas,M,20200916-M-Rome_Masters-R32-Stefanos_Tsitsipas-Jannik_Sinner.html,Rome Masters,2020-09-16
David Goffin,R128,Jannik Sinner,M,20200928-M-Roland_Garros-R128-Jannik_Sinner-David_Goffin.html,Roland Garros,2020-09-28
Jannik Sinner,R64,Benjamin Bonzi,M,20200930-M-Roland_Garros-R64-Benjamin_Bonzi-Jannik_Sinner.html,Roland Garros,2020-09-30
Federico Coria,R32,Jannik Sinner,M,20201002-M-Roland_Garros-R32-Jannik_Sinner-Federico_Coria.html,Roland Garros,2020-10-02
Alexander Zverev,R16,Jannik Sinner,M,20201004-M-Roland_Garros-R16-Jannik_Sinner-Alexander_Zverev.html,Roland Garros,2020-10-04
Jannik Sinner,QF,Rafael Nadal,M,20201006-M-Roland_Garros-QF-Rafael_Nadal-Jannik_Sinner.html,Roland Garros,2020-10-06
Jannik Sinner,F,Vasek Pospisil,M,20201114-M-Sofia-F-Vasek_Pospisil-Jannik_Sinner.html,Sofia,2020-11-14
Stefano Travaglia,F,Jannik Sinner,M,20210207-M-Great_Ocean_Road_Open-F-Jannik_Sinner-Stefano_Travaglia.html,Great Ocean Road Open,2021-02-07
Denis Shapovalov,R128,Jannik Sinner,M,20210208-M-Australian_Open-R128-Jannik_Sinner-Denis_Shapovalov.html,Australian Open,2021-02-08
Daniil Medvedev,QF,Jannik Sinner,M,20210312-M-Marseille-QF-Jannik_Sinner-Daniil_Medvedev.html,Marseille,2021-03-12
Aslan Karatsev,QF,Jannik Sinner,M,20210318-M-Dubai-QF-Jannik_Sinner-Aslan_Karatsev.html,Dubai,2021-03-18
Emil Ruusuvuori,R16,Jannik Sinner,M,20210330-M-Miami_Masters-R16-Jannik_Sinner-Emil_Ruusuvuori.html,Miami Masters,2021-03-30
Alexander Bublik,QF,Jannik Sinner,M,20210331-M-Miami_Masters-QF-Jannik_Sinner-Alexander_Bublik.html,Miami Masters,2021-03-31
Roberto Bautista Agut,SF,Jannik Sinner,M,20210402-M-Miami_Masters-SF-Jannik_Sinner-Roberto_Bautista_Agut.html,Miami Masters,2021-04-02
Jannik Sinner,F,Hubert Hurkacz,M,20210404-M-Miami_Masters-F-Hubert_Hurkacz-Jannik_Sinner.html,Miami Masters,2021-04-04
Jannik Sinner,QF,Andrey Rublev,M,20210423-M-Barcelona-QF-Andrey_Rublev-Jannik_Sinner.html,Barcelona,2021-04-23
Jannik Sinner,SF,Stefanos Tsitsipas,M,20210424-M-Barcelona-SF-Stefanos_Tsitsipas-Jannik_Sinner.html,Barcelona,2021-04-24
Jannik Sinner,R128,Pierre Hugues Herbert,M,20210531-M-Roland_Garros-R128-Pierre_Hugues_Herbert-Jannik_Sinner.html,Roland Garros,2021-05-31
Gianluca Mager,R64,Jannik Sinner,M,20210602-M-Roland_Garros-R64-Jannik_Sinner-Gianluca_Mager.html,Roland Garros,2021-06-02
Jannik Sinner,R16,Rafael Nadal,M,20210607-M-Roland_Garros-R16-Rafael_Nadal-Jannik_Sinner.html,Roland Garros,2021-06-07
Marton Fucsovics,R128,Jannik Sinner,M,20210629-M-Wimbledon-R128-Jannik_Sinner-Marton_Fucsovics.html,Wimbledon,2021-06-29
Emil Ruusuvuori,R32,Jannik Sinner,M,20210804-M-Washington-R32-Jannik_Sinner-Emil_Ruusuvuori.html,Washington,2021-08-04
Jannik Sinner,R16,Sebastian Korda,M,20210805-M-Washington-R16-Sebastian_Korda-Jannik_Sinner.html,Washington,2021-08-05
Jannik Sinner,QF,Steve Johnson,M,20210806-M-Washington-QF-Steve_Johnson-Jannik_Sinner.html,Washington,2021-08-06
Jannik Sinner,SF,Jenson Brooksby,M,20210807-M-Washington-SF-Jenson_Brooksby-Jannik_Sinner.html,Washington,2021-08-07
Mackenzie Mcdonald,F,Jannik Sinner,M,20210808-M-Washington-F-Jannik_Sinner-Mackenzie_Mcdonald.html,Washington,2021-08-08
Gael Monfils,R32,Jannik Sinner,M,20210904-M-US_Open-R32-Jannik_Sinner-Gael_Monfils.html,US Open,2021-09-04
Alexander Zverev,R16,Jannik Sinner,M,20210906-M-US_Open-R16-Jannik_Sinner-Alexander_Zverev.html,US Open,2021-09-06
Gael Monfils,F,Jannik Sinner,M,20211003-M-Sofia-F-Jannik_Sinner-Gael_Monfils.html,Sofia,2021-10-03
Jannik Sinner,QF,Arthur Rinderknech,M,20211022-M-Antwerp-QF-Arthur_Rinderknech-Jannik_Sinner.html,Antwerp,2021-10-22
Jannik Sinner,F,Diego Schwartzman,M,20211024-M-Antwerp-F-Diego_Schwartzman-Jannik_Sinner.html,Antwerp,2021-10-24
Jannik Sinner,R32,Reilly Opelka,M,20211027-M-Vienna-R32-Reilly_Opelka-Jannik_Sinner.html,Vienna,2021-10-27
Jannik Sinner,QF,Casper Ruud,M,20211029-M-Vienna-QF-Casper_Ruud-Jannik_Sinner.html,Vienna,2021-10-29
Jannik Sinner,SF,Frances Tiafoe,M,20211030-M-Vienna-SF-Frances_Tiafoe-Jannik_Sinner.html,Vienna,2021-10-30
Jannik Sinner,R32,Carlos Alcaraz,M,20211103-M-Paris_Masters-R32-Carlos_Alcaraz-Jannik_Sinner.html,Paris Masters,2021-11-03
Jannik Sinner,RR,Hubert Hurkacz,M,20211116-M-Tour_Finals-RR-Hubert_Hurkacz-Jannik_Sinner.html,Tour Finals,2021-11-16
Daniil Medvedev,RR,Jannik Sinner,M,20211118-M-Tour_Finals-RR-Jannik_Sinner-Daniil_Medvedev.html,Tour Finals,2021-11-18
Jannik Sinner,RR,John Isner,M,20211126-M-Davis_Cup_Finals-RR-John_Isner-Jannik_Sinner.html,Davis Cup Finals,2021-11-26
Jannik Sinner,RR,Daniel Elahi Galan,M,20211127-M-Davis_Cup_Finals-RR-Daniel_Elahi_Galan-Jannik_Sinner.html,Davis Cup Finals,2021-11-27
Jannik Sinner,RR,Roman Safiullin,M,20220106-M-ATP_Cup-RR-Roman_Safiullin-Jannik_Sinner.html,ATP Cup,2022-01-06
Jannik Sinner,R64,Steve Johnson,M,20220120-M-Australian_Open-R64-Steve_Johnson-Jannik_Sinner.html,Australian Open,2022-01-20
Jannik Sinner,QF,Stefanos Tsitsipas,M,20220126-M-Australian_Open-QF-Stefanos_Tsitsipas-Jannik_Sinner.html,Australian Open,2022-01-26
Jannik Sinner,QF,Hubert Hurkacz,M,20220224-M-Dubai-QF-Hubert_Hurkacz-Jannik_Sinner.html,Dubai,2022-02-24
Jannik Sinner,R64,Emil Ruusuvuori,M,20220325-M-Miami_Masters-R64-Emil_Ruusuvuori-Jannik_Sinner.html,Miami Masters,2022-03-25
Jannik Sinner,R32,Pablo Carreno Busta,M,20220327-M-Miami_Masters-R32-Pablo_Carreno_Busta-Jannik_Sinner.html,Miami Masters,2022-03-27
Nick Kyrgios,R16,Jannik Sinner,M,20220329-M-Miami_Masters-R16-Jannik_Sinner-Nick_Kyrgios.html,Miami Masters,2022-03-29
Jannik Sinner,QF,Francisco Cerundolo,M,20220330-M-Miami_Masters-QF-Francisco_Cerundolo-Jannik_Sinner.html,Miami Masters,2022-03-30
Jannik Sinner,R64,Borna Coric,M,20220411-M-Monte_Carlo_Masters-R64-Borna_Coric-Jannik_Sinner.html,Monte Carlo Masters,2022-04-11
