Surface Speed,Ace%,Date,Tournament,Surface
1.51,16.8%,2025-06-16,Queen's Club,Grass
1.41,16.2%,2026-02-09,Dallas,Hard
1.40,13.5%,2025-10-20,Basel,Hard
1.39,14.5%,2025-11-02,Athens,Hard
1.35,19.8%,2026-02-02,Montpellier,Hard
1.33,17.7%,2026-06-08,Stuttgart,Grass
1.33,12.4%,2025-11-02,Metz,Hard
1.32,15.7%,2025-06-09,Stuttgart,Grass
1.31,13.1%,2025-10-13,Brussels,Hard
1.29,15.9%,2026-02-23,Dubai,Hard
1.28,11.7%,2025-11-09,Tour Finals,Hard
1.27,13.6%,2026-02-16,Delray Beach,Hard
1.26,12.3%,2025-12-17,Next Gen Finals,Hard
1.24,12.8%,2025-09-17,Hangzhou,Hard
1.22,13.0%,2025-06-16,Halle,Grass
1.20,12.4%,2025-10-20,Vienna,Hard
1.15,13.2%,2025-08-07,Cincinnati Masters,Hard
1.15,12.1%,2026-03-18,Miami Masters,Hard
1.14,11.0%,2025-09-24,Tokyo,Hard
1.11,13.8%,2026-01-04,Brisbane,Hard
1.10,11.2%,2026-03-04,Indian Wells Masters,Hard
1.10,12.3%,2026-02-23,Acapulco,Hard
1.10,11.1%,2025-10-01,Shanghai Masters,Hard
1.09,11.8%,2026-01-19,Australian Open,Hard
1.08,14.0%,2026-01-05,United Cup,Hard
1.08,9.7%,2026-01-12,Adelaide,Hard
1.08,9.7%,2025-10-13,Almaty,Hard
1.07,11.9%,2025-09-17,Chengdu,Hard
1.06,10.8%,2025-06-30,Wimbledon,Grass
1.05,11.3%,2025-07-21,Washington,Hard
1.04,11.8%,2026-01-12,Auckland,Hard
1.04,10.4%,2025-08-17,Winston-Salem,Hard
1.00,12.1%,2025-06-09,s Hertogenbosch,Grass
1.00,12.7%,2025-07-14,Gstaad,Clay
1.00,11.4%,2026-01-05,Hong Kong,Hard
0.98,10.4%,2025-06-22,Mallorca,Grass
0.97,8.3%,2026-02-16,Rio de Janeiro,Clay
0.97,9.4%,2026-03-30,Marrakech,Clay
0.97,10.4%,2025-07-27,Canada Masters,Hard
0.96,10.8%,2025-08-25,Us Open,Hard
0.94,10.3%,2025-10-27,Paris Masters,Hard
0.93,9.0%,2025-09-25,Beijing,Hard
0.93,11.0%,2026-06-08,s Hertogenbosch,Grass
0.93,11.5%,2025-07-21,Kitzbuhel,Clay
0.89,9.4%,2026-04-22,Madrid Masters,Clay
0.88,9.3%,2026-02-16,Doha,Hard
0.86,10.4%,2026-02-09,Rotterdam,Hard
0.86,10.0%,2025-10-13,Stockholm,Hard
0.83,9.9%,2025-07-14,Los Cabos,Hard
0.79,5.9%,2025-06-23,Eastbourne,Grass
0.78,12.0%,2026-03-30,Houston,Clay
0.77,6.3%,2025-07-14,Bastad,Clay
0.68,7.2%,2026-05-17,Geneva,Clay
0.67,6.4%,2026-02-23,Santiago,Clay
0.65,6.8%,2025-07-20,Umag,Clay
0.64,6.7%,2026-05-06,Rome Masters,Clay
0.63,6.6%,2026-04-13,Munich,Clay
0.54,5.8%,2026-04-05,Monte Carlo Masters,Clay
0.50,5.5%,2026-05-17,Hamburg,Clay
0.49,4.6%,2025-09-19,Laver Cup,Hard
0.48,4.8%,2026-04-13,Barcelona,Clay
0.48,4.6%,2026-02-09,Buenos Aires,Clay
0.46,4.8%,2026-03-30,Bucharest,Clay
