#,player,years,peak elo,set margin
1,Novak Djokovic,2003–2026,"2,593",+1.90
2,Jannik Sinner,2018–2026,"2,413",+1.66
3,Carlos Alcaraz,2018–2026,"2,402",+1.66
4,Daniil Medvedev,2014–2026,"2,285",+1.12
5,Stan Wawrinka,2002–2026,"2,268",+0.51
6,Alexander Zverev,2013–2026,"2,248",+0.99
7,Kei Nishikori,2007–2026,"2,245",+0.67
8,Stefanos Tsitsipas,2016–2026,"2,235",+0.83
9,Marin Cilic,2005–2026,"2,195",+0.65
10,Andrey Rublev,2014–2026,"2,186",+0.65
11,Grigor Dimitrov,2008–2026,"2,176",+0.54
12,Richard Gasquet,2002–2026,"2,165",+0.59
13,Nick Kyrgios,2013–2026,"2,153",+0.68
14,Gael Monfils,2004–2026,"2,151",+0.64
15,Matteo Berrettini,2015–2026,"2,144",+0.58
16,Jack Draper,2018–2026,"2,141",+1.11
17,Casper Ruud,2015–2026,"2,128",+0.79
18,Holger Rune,2020–2026,"2,119",+0.58
19,Alex de Minaur,2015–2026,"2,117",+0.70
20,Roberto Bautista Agut,2005–2026,"2,106",+0.54
21,Taylor Fritz,2015–2026,"2,105",+0.57
22,Felix Auger-Aliassime,2017–2026,"2,105",+0.53
23,David Goffin,2009–2026,"2,099",+0.22
24,Karen Khachanov,2013–2026,"2,096",+0.38
25,Arthur Fils,2021–2026,"2,089",+0.51
26,Lorenzo Musetti,2019–2026,"2,087",+0.34
27,Cameron Norrie,2017–2026,"2,071",+0.37
28,Alexander Bublik,2016–2026,"2,065",-0.06
29,Sebastian Korda,2018–2026,"2,059",+0.59
30,Hubert Hurkacz,2015–2026,"2,053",+0.48
31,Borna Coric,2013–2026,"2,048",+0.07
32,Diego Schwartzman,2010–2026,"2,047",+0.23
33,Pablo Carreno Busta,2009–2026,"2,047",+0.32
34,Tommy Paul,2015–2026,"2,044",+0.59
35,Lucas Pouille,2012–2026,"2,040",-0.10
36,Ben Shelton,2022–2026,"2,040",+0.35
37,Fabio Fognini,2004–2025,"2,033",-0.16
38,Jiri Lehecka,2020–2026,"2,024",+0.20
39,Ugo Humbert,2016–2026,"2,024",+0.35
40,Hyeon Chung,2014–2026,"2,022",+0.12
41,Frances Tiafoe,2015–2026,"2,015",+0.14
42,Denis Shapovalov,2017–2026,"2,011",+0.28
43,Kyle Edmund,2012–2026,"2,002",+0.11
44,Jan-Lennard Struff,2009–2026,"2,001",-0.11
45,Marton Fucsovics,2010–2026,"1,992",+0.10
46,Tomas Machac,2018–2026,"1,989",+0.22
47,Jakub Mensik,2022–2026,"1,986",+0.60
48,Aslan Karatsev,2011–2026,"1,985",0.00
49,Filip Krajinovic,2008–2025,"1,984",-0.08
50,Martin Klizan,2007–2026,"1,979",-0.16
51,Tallon Griekspoor,2015–2026,"1,977",-0.08
52,Alejandro Davidovich Fokina,2017–2026,"1,974",+0.14
53,Reilly Opelka,2015–2026,"1,973",+0.04
54,Bernard Tomic,2008–2026,"1,968",-0.14
55,Albert Ramos-Vinolas,2007–2026,"1,966",-0.21
56,Francisco Cerundolo,2018–2026,"1,966",+0.41
57,Adrian Mannarino,2004–2026,"1,966",-0.26
58,Jenson Brooksby,2021–2026,"1,964",0.00
59,Vasek Pospisil,2007–2025,"1,958",-0.24
60,Nikoloz Basilashvili,2008–2026,"1,953",-0.45
61,Damir Dzumhur,2011–2026,"1,951",-0.47
62,Benoit Paire,2007–2026,"1,951",-0.31
63,Ilya Ivashka,2013–2026,"1,951",+0.02
64,Joao Fonseca,2022–2026,"1,949",—
65,Learner Tien,2023–2026,"1,949",—
66,Cristian Garin,2012–2026,"1,948",0.00
67,Flavio Cobolli,2020–2026,"1,947",-0.02
68,Jordan Thompson,2013–2026,"1,944",-0.22
69,Miomir Kecmanovic,2017–2026,"1,943",0.00
70,Nicolas Jarry,2014–2026,"1,942",-0.09
71,Lloyd Harris,2015–2026,"1,938",-0.29
72,Alexei Popyrin,2017–2026,"1,936",-0.34
73,Pierre-Hugues Herbert,2010–2026,"1,936",-0.29
74,Rafael Jodar,2024–2026,"1,933",—
75,Botic van de Zandschulp,2016–2026,"1,932",-0.12
76,Yoshihito Nishioka,2014–2026,"1,931",-0.46
77,Roman Safiullin,2015–2026,"1,930",-0.04
78,Lorenzo Sonego,2014–2026,"1,928",-0.03
79,Christopher Eubanks,2017–2026,"1,928",-0.50
80,Daniel Evans,2006–2026,"1,927",-0.11
81,Jiri Vesely,2010–2026,"1,924",-0.10
82,Brandon Nakashima,2019–2026,"1,921",+0.29
83,Marcos Giron,2014–2026,"1,916",-0.20
84,Mikhail Kukushkin,2006–2026,"1,907",-0.45
85,Matteo Arnaldi,2019–2026,"1,906",-0.11
86,Arthur Rinderknech,2018–2026,"1,905",-0.16
87,Valentin Vacherot,2015–2026,"1,905",—
88,Marco Cecchinato,2010–2026,"1,903",-0.74
89,Dusan Lajovic,2007–2026,"1,900",-0.33
90,Radu Albot,2008–2026,"1,899",-0.61
91,Juncheng Shang,2021–2026,"1,896",—
92,Sebastian Baez,2018–2026,"1,896",-0.03
93,Corentin Moutet,2016–2026,"1,888",-0.49
94,Jaume Munar,2014–2026,"1,887",-0.09
95,Tomas Martin Etcheverry,2017–2026,"1,887",-0.05
96,Emil Ruusuvuori,2018–2026,"1,886",+0.05
97,Alejandro Tabilo,2015–2026,"1,880",+0.22
98,Alex Michelsen,2023–2026,"1,878",+0.14
99,Gabriel Diallo,2023–2026,"1,874",—
100,Mackenzie McDonald,2016–2026,"1,868",-0.24
101,Fabian Marozsan,2018–2026,"1,867",+0.01
102,Yannick Hanfmann,2015–2026,"1,865",-0.25
103,Thanasi Kokkinakis,2013–2026,"1,865",-0.24
104,Oscar Otte,2011–2026,"1,863",—
105,Laslo Djere,2013–2026,"1,862",-0.14
106,Mikael Ymer,2015–2026,"1,861",-0.29
107,Alex Molcan,2015–2026,"1,857",—
108,Giovanni Mpetshi Perricard,2021–2026,"1,853",—
109,Luciano Darderi,2019–2026,"1,852",+0.08
110,Maxime Cressy,2019–2026,"1,850",-0.14
111,J.J. Wolf,2019–2026,"1,849",—
112,Soonwoo Kwon,2015–2026,"1,847",-0.17
113,Pedro Martinez,2016–2026,"1,845",-0.65
114,Nuno Borges,2019–2026,"1,843",-0.35
115,Zhizhen Zhang,2012–2026,"1,842",-0.31
116,Denis Kudla,2010–2025,"1,837",-0.85
117,Teymuraz Gabashvili,2001–2025,"1,836",-0.75
118,Henri Laaksonen,2009–2025,"1,830",—
119,Ricardas Berankis,2007–2026,"1,830",-0.49
120,Hamad Medjedovic,2021–2026,"1,823",—
121,Sebastian Ofner,2015–2026,"1,822",-0.54
122,Dominic Stricker,2020–2026,"1,820",—
123,Christopher O'Connell,2011–2026,"1,820",-0.49
124,Zizou Bergs,2018–2026,"1,819",-0.23
125,Egor Gerasimov,2010–2026,"1,817",—
126,Pavel Kotov,2016–2026,"1,816",—
127,Mariano Navone,2019–2026,"1,816",+0.07
128,Alexandre Muller,2014–2026,"1,816",-0.64
129,Quentin Halys,2012–2026,"1,815",-0.30
130,Taro Daniel,2010–2026,"1,815",-0.83
131,Yibing Wu,2017–2026,"1,814",—
132,Maximilian Marterer,2015–2026,"1,812",-0.93
133,Kamil Majchrzak,2013–2026,"1,811",—
134,Juan Ignacio Londero,2010–2025,"1,810",—
135,Mattia Bellucci,2018–2026,"1,810",—
136,Bernabe Zapata Miralles,2015–2026,"1,809",—
137,Benjamin Bonzi,2015–2026,"1,808",-0.11
138,Gregoire Barrere,2012–2026,"1,807",-0.65
139,Dominik Koepfer,2016–2026,"1,806",-0.54
140,Stefano Travaglia,2008–2026,"1,806",—
141,Illya Marchenko,2006–2026,"1,805",-0.58
142,Aleksandar Vukic,2018–2026,"1,800",-0.50
143,James Duckworth,2010–2026,"1,799",-0.49
144,Roberto Carballes Baena,2011–2026,"1,798",-0.41
145,Dino Prizmic,2019–2026,"1,796",—
146,Norbert Gombos,2009–2026,"1,794",—
147,Evgeny Donskoy,2007–2025,"1,791",-0.94
148,Filip Misolic,2019–2026,"1,791",—
149,Thiago Agustin Tirante,2017–2026,"1,790",—
150,Jacob Fearnley,2019–2026,"1,781",—
151,Jason Kubler,2011–2026,"1,781",—
152,Thiago Monteiro,2011–2026,"1,780",-0.25
153,Alexander Blockx,2019–2026,"1,780",—
154,Arthur Cazaux,2020–2026,"1,777",—
155,Daniel Elahi Galan,2015–2026,"1,777",-0.61
156,Alexander Shevchenko,2018–2026,"1,777",-0.68
157,Marc-Andrea Huesler,2016–2026,"1,776",—
158,Thiago Seyboth Wild,2018–2026,"1,776",—
159,Michael Mmoh,2016–2026,"1,775",—
160,Yosuke Watanuki,2016–2026,"1,773",—
161,Mirza Basic,2012–2026,"1,773",—
162,Ethan Quinn,2023–2026,"1,769",—
163,Ignacio Buse,2022–2026,"1,769",—
164,Jesper de Jong,2018–2026,"1,766",—
165,Borna Gojo,2020–2026,"1,766",—
166,Ernesto Escobedo,2014–2025,"1,765",—
167,Rinky Hijikata,2021–2026,"1,764",-0.80
168,Hugo Gaston,2018–2026,"1,764",-0.95
169,Vit Kopriva,2015–2026,"1,762",—
170,Facundo Bagnis,2008–2026,"1,760",-0.75
171,Jaime Faria,2019–2026,"1,758",—
172,Jozef Kovalik,2010–2026,"1,758",—
173,Juan Manuel Cerundolo,2018–2026,"1,758",—
174,Hugo Dellien,2010–2026,"1,757",—
175,Cedrik-Marcel Stebe,2010–2026,"1,756",—
176,Max Purcell,2016–2025,"1,754",—
177,Daniel Altmaier,2014–2026,"1,750",-0.70
178,Salvatore Caruso,2011–2025,"1,750",—
179,Juan Pablo Varillas,2013–2026,"1,750",—
180,Eliot Spizzirri,2019–2026,"1,749",—
181,Francisco Comesana,2017–2026,"1,746",—
182,Pedro Cachin,2013–2026,"1,744",—
183,Raphael Collignon,2021–2026,"1,742",—
184,Kenny De Schepper,2010–2026,"1,742",—
185,Valentin Royer,2018–2026,"1,741",—
186,Lukas Klein,2016–2026,"1,738",—
187,Terence Atmane,2019–2026,"1,738",—
188,Dennis Novak,2012–2026,"1,737",—
189,Zachary Svajda,2019–2026,"1,737",—
190,Gastao Elias,2008–2026,"1,732",—
191,Martin Landaluce,2019–2026,"1,729",—
192,Alex Bolt,2011–2026,"1,728",—
193,Leandro Riedi,2019–2026,"1,727",—
194,Tatsuma Ito,2006–2025,"1,726",—
195,Gianluca Mager,2013–2026,"1,725",—
196,Liam Broady,2014–2026,"1,725",—
197,Nishesh Basavareddy,2019–2026,"1,723",—
198,Enzo Couacaud,2013–2026,"1,721",—
199,Constant Lestienne,2012–2026,"1,721",—
200,Camilo Ugo Carabelli,2016–2026,"1,720",—
