rank,player,years,peak elo,set margin
1,Jannik Sinner,2018–2026,"2,413",+1.66
2,Carlos Alcaraz,2018–2026,"2,402",+1.66
3,Alexander Zverev,2013–2026,"2,248",+0.99
4,Felix Auger-Aliassime,2017–2026,"2,105",+0.53
5,Ben Shelton,2022–2026,"2,040",+0.35
6,Alex de Minaur,2015–2026,"2,117",+0.70
7,Daniil Medvedev,2014–2026,"2,285",+1.12
8,Novak Djokovic,2003–2026,"2,593",+1.90
9,Taylor Fritz,2015–2026,"2,105",+0.57
10,Flavio Cobolli,2020–2026,"1,947",-0.02
11,Alexander Bublik,2016–2026,"2,065",-0.06
12,Jiri Lehecka,2020–2026,"2,024",+0.20
13,Andrey Rublev,2014–2026,"2,186",+0.65
14,Casper Ruud,2015–2026,"2,128",+0.79
15,Lorenzo Musetti,2019–2026,"2,087",+0.34
16,Jakub Mensik,2022–2026,"1,986",+0.60
17,Luciano Darderi,2019–2026,"1,852",+0.08
18,Karen Khachanov,2013–2026,"2,096",+0.38
19,Learner Tien,2023–2026,"1,949",-0.03
20,Valentin Vacherot,2015–2026,"1,905",+0.31
21,Arthur Fils,2021–2026,"2,089",+0.51
22,Alejandro Davidovich Fokina,2017–2026,"1,974",+0.14
23,Rafael Jodar,2024–2026,"1,933",+1.15
24,Arthur Rinderknech,2018–2026,"1,905",-0.16
25,Joao Fonseca,2022–2026,"1,949",+0.30
26,Frances Tiafoe,2015–2026,"2,015",+0.14
27,Francisco Cerundolo,2018–2026,"1,966",+0.41
28,Tommy Paul,2015–2026,"2,044",+0.59
29,Cameron Norrie,2017–2026,"2,071",+0.37
30,Tomas Martin Etcheverry,2017–2026,"1,887",-0.05
31,Alejandro Tabilo,2015–2026,"1,880",+0.22
32,Brandon Nakashima,2019–2026,"1,921",+0.29
33,Ugo Humbert,2016–2026,"2,024",+0.35
34,Matteo Arnaldi,2019–2026,"1,906",-0.11
35,Ignacio Buse,2022–2026,"1,769",+0.06
36,Corentin Moutet,2016–2026,"1,888",-0.49
37,Alexander Blockx,2019–2026,"1,780",-0.05
38,Alex Michelsen,2023–2026,"1,878",+0.14
39,Mariano Navone,2019–2026,"1,816",+0.07
40,Tallon Griekspoor,2015–2026,"1,977",-0.08
41,Denis Shapovalov,2017–2026,"2,011",+0.28
42,Tomas Machac,2018–2026,"1,989",+0.22
43,Jaume Munar,2014–2026,"1,887",-0.09
44,Adrian Mannarino,2004–2026,"1,966",-0.26
45,Juan Manuel Cerundolo,2018–2026,"1,758",-0.65
46,Marin Cilic,2005–2026,"2,195",+0.65
47,Kamil Majchrzak,2013–2026,"1,811",-0.07
48,Zizou Bergs,2018–2026,"1,819",-0.23
49,Matteo Berrettini,2015–2026,"2,144",+0.58
50,Miomir Kecmanovic,2017–2026,"1,943",0.00
51,Raphael Collignon,2021–2026,"1,742",-0.19
52,Thiago Agustin Tirante,2017–2026,"1,790",+0.17
53,Terence Atmane,2019–2026,"1,738",-0.26
54,Nuno Borges,2019–2026,"1,843",-0.35
55,Martin Landaluce,2019–2026,"1,729",-0.58
56,Botic van de Zandschulp,2016–2026,"1,932",-0.12
57,Sebastian Baez,2018–2026,"1,896",-0.03
58,Camilo Ugo Carabelli,2016–2026,"1,720",-0.86
59,Yannick Hanfmann,2015–2026,"1,865",-0.25
60,Sebastian Korda,2018–2026,"2,059",+0.59
61,Fabian Marozsan,2018–2026,"1,867",+0.01
62,Roman Andres Burruchaga,2019–2026,"1,646",-0.02
63,Holger Rune,2020–2026,"2,119",+0.58
64,Vit Kopriva,2015–2026,"1,762",-0.39
65,Lorenzo Sonego,2014–2026,"1,928",-0.03
66,Ethan Quinn,2023–2026,"1,769",-0.69
67,Hamad Medjedovic,2021–2026,"1,823",-0.05
68,Aleksandar Kovacevic,2021–2026,"1,719",-0.47
69,Zachary Svajda,2019–2026,"1,737",-0.80
70,Pablo Carreno Busta,2009–2026,"2,047",+0.32
71,Adolfo Daniel Vallejo,2023–2026,"1,647",+0.37
72,Jesper de Jong,2018–2026,"1,766",-0.37
73,Jenson Brooksby,2021–2026,"1,964",0.00
74,Mattia Bellucci,2018–2026,"1,810",-0.55
75,Valentin Royer,2018–2026,"1,741",-0.30
76,Marton Fucsovics,2010–2026,"1,992",+0.10
77,Jan-Lennard Struff,2009–2026,"2,001",-0.11
78,James Duckworth,2010–2026,"1,799",-0.49
79,Arthur Cazaux,2020–2026,"1,777",-0.22
80,Stefanos Tsitsipas,2016–2026,"2,235",+0.83
81,Daniel Altmaier,2014–2026,"1,750",-0.70
82,Dino Prizmic,2019–2026,"1,796",+0.25
83,Daniel Merida,2019–2026,"1,720",-0.15
84,Gabriel Diallo,2023–2026,"1,874",-0.24
85,Emilio Nava,2018–2026,"1,715",-1.09
86,Marcos Giron,2014–2026,"1,916",-0.20
87,Giovanni Mpetshi Perricard,2021–2026,"1,853",-0.23
88,Francisco Comesana,2017–2026,"1,746",-0.54
89,Benjamin Bonzi,2015–2026,"1,808",-0.11
90,Alexei Popyrin,2017–2026,"1,936",-0.34
91,Adam Walton,2022–2026,"1,701",-0.62
92,Marco Trungelliti,2008–2026,"1,712",-0.75
93,Jaime Faria,2019–2026,"1,758",-0.39
94,Quentin Halys,2012–2026,"1,815",-0.30
95,Eliot Spizzirri,2019–2026,"1,749",+0.09
