#,player,years,peak elo,set margin
1,Novak Djokovic,2003–2026,"2,593",+1.90
2,Rafael Nadal,2001–2025,"2,500",+1.95
3,Andy Murray,2005–2024,"2,470",+1.19
4,Roger Federer,1998–2022,"2,430",+1.73
5,Jannik Sinner,2018–2026,"2,413",+1.66
6,Carlos Alcaraz,2018–2026,"2,402",+1.66
7,Ivan Lendl,1978–1995,"2,303",+1.32
8,Daniil Medvedev,2014–2026,"2,285",+1.12
9,Juan Martin del Potro,2005–2022,"2,273",+1.15
10,David Ferrer,2000–2019,"2,270",+0.90
11,Stan Wawrinka,2002–2026,"2,268",+0.51
12,Pete Sampras,1988–2003,"2,265",+1.51
13,Alexander Zverev,2013–2026,"2,248",+0.99
14,Milos Raonic,2008–2025,"2,247",+0.88
15,Kei Nishikori,2007–2026,"2,245",+0.67
16,Andre Agassi,1985–2007,"2,241",+1.63
17,Dominic Thiem,2011–2025,"2,241",+0.49
18,Boris Becker,1984–2000,"2,236",+1.16
19,Stefanos Tsitsipas,2016–2026,"2,235",+0.83
20,Stefan Edberg,1983–1997,"2,234",+1.43
21,Tomas Berdych,2002–2019,"2,232",+0.93
22,Bjorn Borg,1973–1994,"2,221",—
23,Jim Courier,1987–2001,"2,218",+1.21
24,Nikolay Davydenko,1999–2015,"2,213",+0.79
25,Jo-Wilfried Tsonga,2004–2022,"2,208",+0.82
26,Marin Cilic,2005–2026,"2,195",+0.65
27,Andrey Rublev,2014–2026,"2,186",+0.65
28,Andy Roddick,2000–2013,"2,177",+1.27
29,Grigor Dimitrov,2008–2026,"2,176",+0.54
30,Robin Soderling,2001–2012,"2,173",+0.91
31,Richard Gasquet,2002–2026,"2,165",+0.59
32,Thomas Muster,1985–2012,"2,161",+1.11
33,Lleyton Hewitt,1998–2017,"2,159",+1.09
34,Nick Kyrgios,2013–2026,"2,153",+0.68
35,Gael Monfils,2004–2026,"2,151",+0.64
36,Matteo Berrettini,2015–2026,"2,144",+0.58
37,Kevin Anderson,2007–2024,"2,143",+0.36
38,Jack Draper,2018–2026,"2,141",+1.11
39,Gustavo Kuerten,1995–2009,"2,140",+0.74
40,Ernests Gulbis,2004–2024,"2,139",0.00
41,Marcelo Rios,1992–2005,"2,137",+0.96
42,Casper Ruud,2015–2026,"2,128",+0.79
43,Jack Sock,2011–2024,"2,127",+0.21
44,Fernando Verdasco,2001–2024,"2,125",+0.37
45,Goran Ivanisevic,1987–2005,"2,124",+0.68
46,Holger Rune,2020–2026,"2,119",+0.58
47,Michael Stich,1987–1998,"2,119",+0.97
48,Alex de Minaur,2015–2026,"2,117",+0.70
49,Mardy Fish,2000–2016,"2,114",+0.40
50,Guillermo Coria,2000–2009,"2,114",+1.09
51,Michael Chang,1987–2004,"2,111",+1.09
52,Petr Korda,1985–2001,"2,110",+0.63
53,John McEnroe,1976–1995,"2,107",+0.97
54,Roberto Bautista Agut,2005–2026,"2,106",+0.54
55,Taylor Fritz,2015–2026,"2,105",+0.57
56,Felix Auger-Aliassime,2017–2026,"2,105",+0.53
57,Patrick Rafter,1990–2002,"2,104",+0.82
58,Tommy Haas,1996–2018,"2,103",+0.68
59,Sergi Bruguera,1988–2003,"2,101",+0.85
60,Marat Safin,1997–2009,"2,100",+0.51
61,David Goffin,2009–2026,"2,099",+0.22
62,Karen Khachanov,2013–2026,"2,096",+0.38
63,Juan Carlos Ferrero,1998–2013,"2,096",+0.65
64,Gilles Simon,2002–2023,"2,093",+0.26
65,Arthur Fils,2021–2026,"2,089",+0.51
66,Fernando Gonzalez,1999–2013,"2,088",+0.60
67,Lorenzo Musetti,2019–2026,"2,087",+0.34
68,Nicolas Almagro,2003–2018,"2,076",+0.51
69,Janko Tipsarevic,2002–2022,"2,072",+0.14
70,Yevgeny Kafelnikov,1992–2004,"2,071",+0.76
71,Cameron Norrie,2017–2026,"2,071",+0.37
72,Gilles Muller,2001–2019,"2,071",-0.11
73,David Nalbandian,2000–2014,"2,070",+0.85
74,Mikhail Youzhny,1999–2018,"2,069",+0.28
75,Alexander Bublik,2016–2026,"2,065",-0.06
76,Todd Martin,1989–2005,"2,063",+0.73
77,Sebastian Korda,2018–2026,"2,059",+0.59
78,Philipp Kohlschreiber,2001–2023,"2,054",+0.36
79,Hubert Hurkacz,2015–2026,"2,053",+0.48
