#,player,season,peak elo,set margin
1,Novak Djokovic,2016,"2,593",+2.19
2,Novak Djokovic,2015,"2,564",+2.48
3,Rafael Nadal,2013,"2,500",+2.21
4,Novak Djokovic,2013,"2,492",+2.35
5,Novak Djokovic,2014,"2,486",+2.22
6,Novak Djokovic,2017,"2,472",+1.50
7,Andy Murray,2017,"2,470",+1.38
8,Novak Djokovic,2011,"2,467",+2.55
9,Rafael Nadal,2014,"2,465",+2.00
10,Andy Murray,2016,"2,464",+2.15
11,Roger Federer,2018,"2,430",+1.64
12,Roger Federer,2012,"2,429",+1.94
13,Roger Federer,2007,"2,429",+1.91
14,Novak Djokovic,2012,"2,429",+2.17
15,Roger Federer,2015,"2,423",+2.06
16,Roger Federer,2017,"2,417",+1.99
17,Novak Djokovic,2024,"2,415",+1.57
18,Novak Djokovic,2023,"2,414",+2.02
19,Jannik Sinner,2026,"2,413",+2.68
20,Rafael Nadal,2012,"2,409",+2.56
21,Novak Djokovic,2021,"2,405",+2.16
22,Roger Federer,2016,"2,403",+1.60
23,Carlos Alcaraz,2026,"2,402",+2.06
24,Roger Federer,2006,"2,401",+2.38
25,Roger Federer,2005,"2,393",+2.31
26,Jannik Sinner,2025,"2,393",+2.62
27,Rafael Nadal,2019,"2,390",+2.44
28,Rafael Nadal,2011,"2,383",+1.80
29,Carlos Alcaraz,2025,"2,379",+2.03
30,Novak Djokovic,2022,"2,375",+2.07
31,Rafael Nadal,2018,"2,374",+2.70
32,Novak Djokovic,2019,"2,372",+2.18
33,Rafael Nadal,2009,"2,372",+1.70
34,Rafael Nadal,2022,"2,371",+1.62
35,Roger Federer,2013,"2,369",+1.38
36,Novak Djokovic,2020,"2,365",+1.99
37,Novak Djokovic,2018,"2,364",+1.82
38,Roger Federer,2009,"2,364",+1.76
39,Jannik Sinner,2024,"2,360",+2.19
40,Rafael Nadal,2017,"2,357",+2.23
41,Rafael Nadal,2020,"2,357",+2.36
42,Roger Federer,2014,"2,355",+1.91
43,Rafael Nadal,2008,"2,353",+2.10
44,Roger Federer,2011,"2,345",+1.95
45,Roger Federer,2008,"2,344",+1.84
46,Andy Murray,2015,"2,338",+1.56
47,Carlos Alcaraz,2023,"2,334",+1.75
48,Andy Murray,2013,"2,334",+1.62
49,Roger Federer,2019,"2,333",+1.87
50,Rafael Nadal,2010,"2,328",+2.11
51,Rafael Nadal,2021,"2,323",+1.99
52,Roger Federer,2010,"2,313",+1.84
53,Rafael Nadal,2006,"2,307",+1.72
54,Andy Murray,2011,"2,304",+1.61
55,Carlos Alcaraz,2024,"2,303",+1.64
56,Ivan Lendl,1990,"2,303",+1.86
57,Andy Murray,2012,"2,301",+1.47
58,Roger Federer,2004,"2,301",+2.33
59,Rafael Nadal,2007,"2,285",+1.94
60,Daniil Medvedev,2022,"2,285",+1.46
61,Novak Djokovic,2010,"2,275",+1.49
62,Juan Martin del Potro,2009,"2,273",+1.13
63,David Ferrer,2013,"2,270",+1.17
64,Novak Djokovic,2009,"2,269",+1.70
65,Stan Wawrinka,2014,"2,268",+1.10
66,Pete Sampras,1994,"2,265",+2.01
67,Andy Murray,2010,"2,264",+1.31
68,Andy Murray,2014,"2,263",+1.25
69,Roger Federer,2020,"2,262",—
70,Daniil Medvedev,2021,"2,262",+1.71
71,Andy Murray,2009,"2,260",+1.92
72,Rafael Nadal,2016,"2,256",+1.72
73,Rafael Nadal,2015,"2,256",+1.52
74,David Ferrer,2012,"2,253",+1.79
75,Alexander Zverev,2022,"2,248",+1.12
76,Juan Martin del Potro,2013,"2,247",+1.28
77,Milos Raonic,2016,"2,247",+1.04
78,Kei Nishikori,2016,"2,245",+1.25
79,Roger Federer,2021,"2,244",—
80,Juan Martin del Potro,2018,"2,243",+1.55
81,Alexander Zverev,2021,"2,242",+1.58
82,Andre Agassi,1995,"2,241",+2.27
83,Dominic Thiem,2020,"2,241",+1.10
84,Pete Sampras,1997,"2,240",+2.00
85,Daniil Medvedev,2023,"2,239",+1.55
86,Boris Becker,1990,"2,236",+1.64
87,Pete Sampras,1995,"2,235",+1.70
88,Stefanos Tsitsipas,2021,"2,235",+1.57
89,Juan Martin del Potro,2012,"2,234",+1.33
90,Stefan Edberg,1990,"2,234",+1.91
91,Novak Djokovic,2025,"2,232",+1.48
92,Tomas Berdych,2015,"2,232",+1.20
93,Novak Djokovic,2026,"2,232",+1.12
94,Stan Wawrinka,2016,"2,231",+1.07
95,Kei Nishikori,2015,"2,230",+1.34
96,Stan Wawrinka,2015,"2,230",+1.00
97,Boris Becker,1991,"2,228",+1.41
98,Carlos Alcaraz,2022,"2,228",+1.73
99,Pete Sampras,1996,"2,227",+1.58
100,Juan Martin del Potro,2014,"2,226",—
101,Bjorn Borg,1991,"2,221",—
102,Andy Murray,2008,"2,220",+1.18
103,Kei Nishikori,2014,"2,218",+1.24
104,Jim Courier,1992,"2,218",+1.76
105,Dominic Thiem,2021,"2,216",—
106,Daniil Medvedev,2024,"2,214",+0.74
107,Nikolay Davydenko,2010,"2,213",+1.07
108,Juan Martin del Potro,2010,"2,209",—
109,Jo-Wilfried Tsonga,2012,"2,208",+1.07
110,Daniil Medvedev,2019,"2,205",+1.43
111,Jannik Sinner,2023,"2,205",+1.61
112,Jo-Wilfried Tsonga,2017,"2,204",+1.28
113,Stan Wawrinka,2017,"2,204",+0.71
114,Andy Murray,2018,"2,204",—
115,Andre Agassi,1996,"2,204",+0.67
116,Stefan Edberg,1991,"2,201",+2.00
117,Rafael Nadal,2023,"2,200",—
118,Pete Sampras,1998,"2,199",+1.49
119,Dominic Thiem,2016,"2,198",+0.72
120,Juan Martin del Potro,2019,"2,197",—
121,Marin Cilic,2014,"2,195",+0.82
122,Alexander Zverev,2017,"2,195",+0.98
123,Tomas Berdych,2013,"2,192",+1.31
124,Jim Courier,1993,"2,191",+1.67
125,Bjorn Borg,1992,"2,191",—
126,Dominic Thiem,2017,"2,190",+0.82
127,Tomas Berdych,2012,"2,190",+1.33
128,Milos Raonic,2017,"2,188",+0.92
129,Juan Martin del Potro,2017,"2,186",+0.74
130,Andrey Rublev,2021,"2,186",+0.97
131,Pete Sampras,1993,"2,185",+1.90
132,David Ferrer,2015,"2,185",+1.34
133,Pete Sampras,1992,"2,184",+1.46
134,Ivan Lendl,1991,"2,184",+1.41
135,Andre Agassi,1994,"2,183",+1.78
136,Andre Agassi,2000,"2,182",+1.47
137,Novak Djokovic,2007,"2,182",+1.44
138,Novak Djokovic,2008,"2,182",+1.86
139,Stefan Edberg,1992,"2,180",+1.41
140,Alexander Zverev,2025,"2,178",+1.04
141,Alexander Zverev,2018,"2,178",+1.23
142,Daniil Medvedev,2020,"2,177",+1.32
143,Alexander Zverev,2024,"2,177",+1.49
144,Andy Roddick,2009,"2,177",+1.37
145,Grigor Dimitrov,2014,"2,176",+0.92
146,Boris Becker,1993,"2,175",+0.89
147,Robin Soderling,2011,"2,173",+1.37
148,Andy Roddick,2003,"2,172",+1.47
149,Dominic Thiem,2019,"2,172",+0.92
150,Kei Nishikori,2017,"2,171",+1.03
151,Jo-Wilfried Tsonga,2011,"2,170",+0.99
152,Jo-Wilfried Tsonga,2014,"2,169",+0.57
153,Alexander Zverev,2023,"2,168",+0.76
154,Alexander Zverev,2020,"2,166",+1.31
155,Richard Gasquet,2015,"2,165",+1.03
156,Kei Nishikori,2019,"2,165",+0.86
157,Andrey Rublev,2020,"2,165",+1.57
158,Rafael Nadal,2005,"2,165",+2.38
159,Grigor Dimitrov,2017,"2,164",+1.21
160,Tomas Berdych,2016,"2,163",+0.65
161,Juan Martin del Potro,2011,"2,162",+1.43
162,Thomas Muster,1995,"2,161",+1.79
163,Rafael Nadal,2024,"2,161",—
164,Marin Cilic,2016,"2,161",+0.90
165,Lleyton Hewitt,2002,"2,159",+1.34
166,Jo-Wilfried Tsonga,2016,"2,159",+0.97
167,Alexander Zverev,2026,"2,159",+1.46
168,Grigor Dimitrov,2018,"2,158",+0.06
169,Tomas Berdych,2014,"2,155",+1.21
170,Marin Cilic,2017,"2,154",+1.03
171,Nick Kyrgios,2022,"2,153",+1.42
172,Marin Cilic,2018,"2,152",+1.00
173,Richard Gasquet,2016,"2,151",+0.95
174,Gael Monfils,2016,"2,151",+1.42
175,Jo-Wilfried Tsonga,2013,"2,151",+0.94
176,Stefanos Tsitsipas,2022,"2,148",+0.96
177,Milos Raonic,2015,"2,147",+0.85
178,Andre Agassi,1999,"2,146",+2.07
179,Juan Martin del Potro,2015,"2,146",—
180,Lleyton Hewitt,2005,"2,146",+1.55
181,Boris Becker,1992,"2,145",+1.07
182,Robin Soderling,2010,"2,145",+1.18
183,Matteo Berrettini,2021,"2,144",+1.19
184,Kevin Anderson,2019,"2,143",—
185,Stefanos Tsitsipas,2020,"2,142",+1.20
186,Andy Roddick,2010,"2,142",+1.07
187,Kei Nishikori,2018,"2,142",+0.65
188,Nikolay Davydenko,2009,"2,142",+1.59
189,Jack Draper,2025,"2,141",+1.38
190,Alexander Zverev,2019,"2,141",+0.60
191,Stan Wawrinka,2013,"2,140",+0.88
192,Gustavo Kuerten,2001,"2,140",+1.49
193,Pete Sampras,2000,"2,140",+1.31
194,Ernests Gulbis,2014,"2,139",+0.74
195,David Ferrer,2014,"2,138",+1.28
196,Grigor Dimitrov,2024,"2,138",+1.18
197,Marcelo Rios,1998,"2,137",+1.84
198,Matteo Berrettini,2022,"2,137",+0.84
199,Dominic Thiem,2018,"2,132",+0.97
200,David Ferrer,2011,"2,131",+1.59
