#,player,season,peak elo,set margin
1,Jannik Sinner,2026,"2,413",+2.68
2,Jannik Sinner,2025,"2,393",+2.62
3,Novak Djokovic,2024,"2,415",+1.57
4,Novak Djokovic,2023,"2,414",+2.02
5,Novak Djokovic,2022,"2,375",+2.07
6,Novak Djokovic,2021,"2,405",+2.16
7,Novak Djokovic,2020,"2,365",+1.99
8,Rafael Nadal,2019,"2,390",+2.44
9,Roger Federer,2018,"2,430",+1.64
10,Novak Djokovic,2017,"2,472",+1.50
11,Novak Djokovic,2016,"2,593",+2.19
12,Novak Djokovic,2015,"2,564",+2.48
13,Novak Djokovic,2014,"2,486",+2.22
14,Rafael Nadal,2013,"2,500",+2.21
15,Roger Federer,2012,"2,429",+1.94
16,Novak Djokovic,2011,"2,467",+2.55
17,Rafael Nadal,2010,"2,328",+2.11
18,Rafael Nadal,2009,"2,372",+1.70
19,Rafael Nadal,2008,"2,353",+2.10
20,Roger Federer,2007,"2,429",+1.91
21,Roger Federer,2006,"2,401",+2.38
22,Roger Federer,2005,"2,393",+2.31
23,Roger Federer,2004,"2,301",+2.33
24,Andy Roddick,2003,"2,172",+1.47
25,Lleyton Hewitt,2002,"2,159",+1.34
26,Gustavo Kuerten,2001,"2,140",+1.49
27,Andre Agassi,2000,"2,182",+1.47
28,Andre Agassi,1999,"2,146",+2.07
29,Pete Sampras,1998,"2,199",+1.49
30,Pete Sampras,1997,"2,240",+2.00
31,Pete Sampras,1996,"2,227",+1.58
32,Andre Agassi,1995,"2,241",+2.27
33,Pete Sampras,1994,"2,265",+2.01
34,Jim Courier,1993,"2,191",+1.67
35,Jim Courier,1992,"2,218",+1.76
36,Boris Becker,1991,"2,228",+1.41
37,Ivan Lendl,1990,"2,303",+1.86
