tournament,event,round,surface,winner,score
"May 6, 2022*",Madrid Masters,Masters 1000,R16,Clay,Novak Djokovic #1
"Jan 7, 2017*",Doha,ATP 250,F,Hard,Novak Djokovic #2
"Nov 22, 2016*",Tour Finals,ATP Finals,F,Hard,Andy Murray #1
"Jun 5, 2016*",Roland Garros,Grand Slam,F,Clay,Novak Djokovic #1
"May 15, 2016*",Rome Masters,Masters 1000,F,Clay,Andy Murray #3
"May 8, 2016*",Madrid Masters,Masters 1000,F,Clay,Novak Djokovic #1
"Jan 31, 2016*",Australian Open,Grand Slam,F,Hard,Novak Djokovic #1
"Nov 8, 2015*",Paris Masters,Masters 1000,F,Hard,Novak Djokovic #1
"Oct 17, 2015*",Shanghai Masters,Masters 1000,SF,Hard,Novak Djokovic #1
"Aug 16, 2015*",Canada Masters,Masters 1000,F,Hard,Andy Murray #3
"Jun 6, 2015*",Roland Garros,Grand Slam,SF,Clay,Novak Djokovic #4
"Apr 5, 2015*",Miami Masters,Masters 1000,F,Hard,Novak Djokovic #1
"Mar 21, 2015*",Indian Wells Masters,Masters 1000,SF,Hard,Novak Djokovic #1
"Feb 1, 2015*",Australian Open,Grand Slam,F,Hard,Novak Djokovic #1
"Nov 1, 2014*",Paris Masters,Masters 1000,QF,Hard,Novak Djokovic #1
"Oct 4, 2014*",Beijing,ATP 500,SF,Hard,Novak Djokovic #1
"Sep 5, 2014*",US Open,Grand Slam,QF,Hard,Novak Djokovic #4
"Mar 28, 2014*",Miami Masters,Masters 1000,QF,Hard,Novak Djokovic #2
"Jul 7, 2013*",Wimbledon,Grand Slam,F,Grass,Andy Murray #2
"Jan 27, 2013*",Australian Open,Grand Slam,F,Hard,Novak Djokovic #1
"Nov 5, 2012",Tour Finals,ATP Finals,RR,Hard,Novak Djokovic #1
"Oct 14, 2012*",Shanghai Masters,Masters 1000,F,Hard,Novak Djokovic #2
"Sep 9, 2012*",US Open,Grand Slam,F,Hard,Andy Murray #4
"Apr 1, 2012*",Miami Masters,Masters 1000,F,Hard,Novak Djokovic #1
"Mar 3, 2012*",Dubai,ATP 500,SF,Hard,Andy Murray #4
"Jan 28, 2012*",Australian Open,Grand Slam,SF,Hard,Novak Djokovic #1
"Aug 21, 2011*",Cincinnati Masters,Masters 1000,F,Hard,Andy Murray #4
"May 14, 2011*",Rome Masters,Masters 1000,SF,Clay,Novak Djokovic #2
"Jan 30, 2011*",Australian Open,Grand Slam,F,Hard,Novak Djokovic #3
"Apr 5, 2009*",Miami Masters,Masters 1000,F,Hard,Andy Murray #4
"Aug 3, 2008*",Cincinnati Masters,Masters 1000,F,Hard,Andy Murray #9
"Jul 26, 2008*",Canada Masters,Masters 1000,QF,Hard,Andy Murray #9
"Apr 25, 2008*",Monte Carlo Masters,Masters 1000,R16,Clay,Novak Djokovic #3
"Mar 31, 2007*",Miami Masters,Masters 1000,SF,Hard,Novak Djokovic #10
"Mar 17, 2007*",Indian Wells Masters,Masters 1000,SF,Hard,Novak Djokovic #13
"Oct 21, 2006*",Madrid Masters,Masters 1000,R16,Hard,Novak Djokovic #17
