tournament,event,round,surface,winner,score
"Apr 12, 2026",Rolex Monte-Carlo Masters,Masters 1000,F,Clay,Jannik Sinner #2
"Nov 16, 2025",Nitto ATP Finals - Turin,ATP Finals,F,Hard,Jannik Sinner #2
"Sep 7, 2025*",US Open,Grand Slam,F,Hard,Carlos Alcaraz #1
"Aug 18, 2025*",Cincinnati Open,Masters 1000,F,Hard,Carlos Alcaraz #2
"Jul 13, 2025*",Wimbledon,Grand Slam,F,Grass,Jannik Sinner #1
"Jun 8, 2025*",Roland Garros,Grand Slam,F,Clay,Carlos Alcaraz #2
"May 18, 2025*",Internazionali BNL d'Italia,Masters 1000,F,Clay,Carlos Alcaraz #3
"Oct 2, 2024*",Beijing,ATP 500,F,Hard,Carlos Alcaraz #1
"Jun 8, 2024*",Roland Garros,Grand Slam,SF,Clay,Carlos Alcaraz #3
"Mar 16, 2024*",Indian Wells Masters,Masters 1000,SF,Hard,Carlos Alcaraz #2
"Oct 3, 2023*",Beijing,ATP 500,SF,Hard,Jannik Sinner #4
"Apr 1, 2023*",Miami Masters,Masters 1000,SF,Hard,Jannik Sinner #11
"Mar 18, 2023*",Indian Wells Masters,Masters 1000,SF,Hard,Carlos Alcaraz #2
"Sep 8, 2022*",US Open,Grand Slam,QF,Hard,Carlos Alcaraz #4
"Jul 31, 2022*",Umag,ATP 250,F,Clay,Jannik Sinner #10
"Jul 5, 2022*",Wimbledon,Grand Slam,R16,Grass,Jannik Sinner #13
"Nov 4, 2021*",Paris Masters,Masters 1000,R32,Hard,Carlos Alcaraz #35
