tournament,event,round,surface,winner,score
"Jun 2, 2022*",Roland Garros,Grand Slam,QF,Clay,Rafael Nadal #5
"Jun 12, 2021*",Roland Garros,Grand Slam,SF,Clay,Novak Djokovic #1
"May 16, 2021*",Rome Masters,Masters 1000,F,Clay,Rafael Nadal #3
"Oct 11, 2020*",Roland Garros,Grand Slam,F,Clay,Rafael Nadal #2
"May 19, 2019*",Rome Masters,Masters 1000,F,Clay,Rafael Nadal #2
"Jan 27, 2019*",Australian Open,Grand Slam,F,Hard,Novak Djokovic #1
"Jul 14, 2018*",Wimbledon,Grand Slam,SF,Grass,Novak Djokovic #21
"May 19, 2018*",Rome Masters,Masters 1000,SF,Clay,Rafael Nadal #2
"May 13, 2017*",Madrid Masters,Masters 1000,SF,Clay,Rafael Nadal #5
"May 14, 2016*",Rome Masters,Masters 1000,QF,Clay,Novak Djokovic #1
"Mar 19, 2016*",Indian Wells Masters,Masters 1000,SF,Hard,Novak Djokovic #1
"Jan 10, 2016*",Doha,ATP 250,F,Hard,Novak Djokovic #1
"Nov 22, 2015*",Tour Finals,ATP Finals,SF,Hard,Novak Djokovic #1
"Oct 11, 2015*",Beijing,ATP 500,F,Hard,Novak Djokovic #1
"Jun 4, 2015*",Roland Garros,Grand Slam,QF,Clay,Novak Djokovic #4
"Apr 18, 2015*",Monte Carlo Masters,Masters 1000,SF,Clay,Novak Djokovic #1
"Jun 8, 2014*",Roland Garros,Grand Slam,F,Clay,Rafael Nadal #1
"May 18, 2014*",Rome Masters,Masters 1000,F,Clay,Novak Djokovic #2
"Mar 30, 2014*",Miami Masters,Masters 1000,F,Hard,Novak Djokovic #2
"Nov 12, 2013*",Tour Finals,ATP Finals,F,Hard,Novak Djokovic #2
"Oct 6, 2013*",Beijing,ATP 500,F,Hard,Novak Djokovic #1
"Sep 8, 2013*",US Open,Grand Slam,F,Hard,Rafael Nadal #2
"Aug 10, 2013*",Canada Masters,Masters 1000,SF,Hard,Rafael Nadal #4
"Jun 8, 2013*",Roland Garros,Grand Slam,SF,Clay,Rafael Nadal #4
"Apr 21, 2013*",Monte Carlo Masters,Masters 1000,F,Clay,Novak Djokovic #1
"Jun 10, 2012*",Roland Garros,Grand Slam,F,Clay,Rafael Nadal #2
"May 20, 2012*",Rome Masters,Masters 1000,F,Clay,Rafael Nadal #3
"Apr 22, 2012*",Monte Carlo Masters,Masters 1000,F,Clay,Rafael Nadal #2
"Jan 29, 2012*",Australian Open,Grand Slam,F,Hard,Novak Djokovic #1
"Sep 11, 2011*",US Open,Grand Slam,F,Hard,Novak Djokovic #1
"Jul 3, 2011*",Wimbledon,Grand Slam,F,Grass,Novak Djokovic #2
"May 15, 2011*",Rome Masters,Masters 1000,F,Clay,Novak Djokovic #2
"May 8, 2011*",Madrid Masters,Masters 1000,F,Clay,Novak Djokovic #2
"Apr 3, 2011*",Miami Masters,Masters 1000,F,Hard,Novak Djokovic #2
"Mar 20, 2011*",Indian Wells Masters,Masters 1000,F,Hard,Novak Djokovic #3
"Nov 21, 2010",Tour Finals,ATP Finals,RR,Hard,Rafael Nadal #1
"Sep 12, 2010*",US Open,Grand Slam,F,Hard,Rafael Nadal #1
"Nov 22, 2009",Tour Finals,ATP Finals,RR,Hard,Novak Djokovic #3
"Nov 14, 2009*",Paris Masters,Masters 1000,SF,Hard,Novak Djokovic #3
"Aug 22, 2009*",Cincinnati Masters,Masters 1000,SF,Hard,Novak Djokovic #4
"May 16, 2009*",Madrid Masters,Masters 1000,SF,Clay,Rafael Nadal #1
"May 3, 2009*",Rome Masters,Masters 1000,F,Clay,Rafael Nadal #1
"Apr 19, 2009*",Monte Carlo Masters,Masters 1000,F,Clay,Rafael Nadal #1
"Aug 2, 2008*",Cincinnati Masters,Masters 1000,SF,Hard,Novak Djokovic #3
"Jun 15, 2008*",Queen's Club,ATP 500,F,Grass,Rafael Nadal #2
"Jun 7, 2008*",Roland Garros,Grand Slam,SF,Clay,Rafael Nadal #2
"May 17, 2008*",Hamburg Masters,Masters 1000,SF,Clay,Rafael Nadal #2
"Mar 22, 2008*",Indian Wells Masters,Masters 1000,SF,Hard,Novak Djokovic #3
"Nov 12, 2007",Masters Cup,ATP Finals,RR,Hard,Rafael Nadal #2
"Aug 11, 2007*",Canada Masters,Masters 1000,SF,Hard,Novak Djokovic #4
"Jul 7, 2007*",Wimbledon,Grand Slam,SF,Grass,Rafael Nadal #2
"Jun 9, 2007*",Roland Garros,Grand Slam,SF,Clay,Rafael Nadal #2
"May 12, 2007*",Rome Masters,Masters 1000,QF,Clay,Rafael Nadal #2
"Mar 29, 2007*",Miami Masters,Masters 1000,QF,Hard,Novak Djokovic #10
"Mar 18, 2007*",Indian Wells Masters,Masters 1000,F,Hard,Rafael Nadal #2
"Jun 9, 2006*",Roland Garros,Grand Slam,QF,Clay,Rafael Nadal #2
