tournament,event,round,surface,winner,score
"Feb 2, 2020*",Australian Open,Grand Slam,SF,Hard,Novak Djokovic #2
"Nov 11, 2019",Tour Finals,ATP Finals,RR,Hard,Roger Federer #3
"Jul 14, 2019*",Wimbledon,Grand Slam,F,Grass,Novak Djokovic #1
"Nov 3, 2018*",Paris Masters,Masters 1000,SF,Hard,Novak Djokovic #2
"Aug 19, 2018*",Cincinnati Masters,Masters 1000,F,Hard,Novak Djokovic #10
"Jan 30, 2016*",Australian Open,Grand Slam,SF,Hard,Novak Djokovic #1
"Nov 23, 2015*",Tour Finals,ATP Finals,F,Hard,Novak Djokovic #1
"Nov 15, 2015",Tour Finals,ATP Finals,RR,Hard,Roger Federer #3
"Sep 13, 2015*",US Open,Grand Slam,F,Hard,Novak Djokovic #1
"Aug 23, 2015*",Cincinnati Masters,Masters 1000,F,Hard,Roger Federer #3
"Jul 12, 2015*",Wimbledon,Grand Slam,F,Grass,Novak Djokovic #1
"May 17, 2015*",Rome Masters,Masters 1000,F,Clay,Novak Djokovic #1
"Mar 22, 2015*",Indian Wells Masters,Masters 1000,F,Hard,Novak Djokovic #1
"Feb 28, 2015*",Dubai,ATP 500,F,Hard,Roger Federer #2
"Nov 17, 2014*",Tour Finals,ATP Finals,F,Hard,Novak Djokovic #1
"Oct 11, 2014*",Shanghai Masters,Masters 1000,SF,Hard,Roger Federer #3
"Jul 6, 2014*",Wimbledon,Grand Slam,F,Grass,Novak Djokovic #2
"Apr 19, 2014*",Monte Carlo Masters,Masters 1000,SF,Clay,Roger Federer #4
"Mar 16, 2014*",Indian Wells Masters,Masters 1000,F,Hard,Novak Djokovic #2
"Mar 1, 2014*",Dubai,ATP 500,SF,Hard,Roger Federer #8
"Nov 4, 2013",Tour Finals,ATP Finals,RR,Hard,Novak Djokovic #2
"Nov 2, 2013*",Paris Masters,Masters 1000,SF,Hard,Novak Djokovic #2
"Nov 13, 2012*",Tour Finals,ATP Finals,F,Hard,Novak Djokovic #1
"Aug 19, 2012*",Cincinnati Masters,Masters 1000,F,Hard,Roger Federer #1
"Jul 7, 2012*",Wimbledon,Grand Slam,SF,Grass,Roger Federer #3
"Jun 9, 2012*",Roland Garros,Grand Slam,SF,Clay,Novak Djokovic #1
"May 19, 2012*",Rome Masters,Masters 1000,SF,Clay,Novak Djokovic #1
"Sep 10, 2011*",US Open,Grand Slam,SF,Hard,Novak Djokovic #1
"Jun 4, 2011*",Roland Garros,Grand Slam,SF,Clay,Roger Federer #3
"Mar 19, 2011*",Indian Wells Masters,Masters 1000,SF,Hard,Novak Djokovic #3
"Feb 26, 2011*",Dubai,ATP 500,F,Hard,Novak Djokovic #3
"Jan 29, 2011*",Australian Open,Grand Slam,SF,Hard,Novak Djokovic #3
"Nov 28, 2010*",Tour Finals,ATP Finals,SF,Hard,Roger Federer #2
"Nov 7, 2010*",Basel,ATP 500,F,Hard,Roger Federer #2
"Oct 16, 2010*",Shanghai Masters,Masters 1000,SF,Hard,Roger Federer #3
"Sep 11, 2010*",US Open,Grand Slam,SF,Hard,Novak Djokovic #3
"Aug 14, 2010*",Canada Masters,Masters 1000,SF,Hard,Roger Federer #3
"Nov 8, 2009*",Basel,ATP 500,F,Hard,Novak Djokovic #3
"Sep 12, 2009*",US Open,Grand Slam,SF,Hard,Roger Federer #1
"Aug 23, 2009*",Cincinnati Masters,Masters 1000,F,Hard,Roger Federer #1
"May 2, 2009*",Rome Masters,Masters 1000,SF,Clay,Novak Djokovic #3
"Apr 4, 2009*",Miami Masters,Masters 1000,SF,Hard,Novak Djokovic #3
"Sep 6, 2008*",US Open,Grand Slam,SF,Hard,Roger Federer #2
"Apr 26, 2008*",Monte Carlo Masters,Masters 1000,SF,Clay,Roger Federer #1
"Jan 26, 2008*",Australian Open,Grand Slam,SF,Hard,Novak Djokovic #3
"Sep 9, 2007*",US Open,Grand Slam,F,Hard,Roger Federer #1
"Aug 12, 2007*",Canada Masters,Masters 1000,F,Hard,Novak Djokovic #4
"Mar 3, 2007*",Dubai,ATP 500,QF,Hard,Roger Federer #1
"Jan 23, 2007*",Australian Open,Grand Slam,R16,Hard,Roger Federer #1
"Apr 19, 2006*",Monte Carlo Masters,Masters 1000,R64,Clay,Roger Federer #1
