tournament,event,round,surface,winner,score
"May 7, 2016*",Madrid Masters,Masters 1000,SF,Clay,Andy Murray #2
"Apr 16, 2016*",Monte Carlo Masters,Masters 1000,SF,Clay,Rafael Nadal #5
"Nov 15, 2015",Tour Finals,ATP Finals,RR,Hard,Rafael Nadal #5
"May 10, 2015*",Madrid Masters,Masters 1000,F,Clay,Andy Murray #3
"Jun 7, 2014*",Roland Garros,Grand Slam,SF,Clay,Rafael Nadal #1
"May 17, 2014*",Rome Masters,Masters 1000,QF,Clay,Rafael Nadal #1
"Mar 31, 2012*",Miami Masters,Masters 1000,SF,Hard,Andy Murray #4
"Oct 9, 2011*",Tokyo,ATP 500,F,Hard,Andy Murray #4
"Sep 10, 2011*",US Open,Grand Slam,SF,Hard,Rafael Nadal #2
"Jul 2, 2011*",Wimbledon,Grand Slam,SF,Grass,Rafael Nadal #1
"Jun 4, 2011*",Roland Garros,Grand Slam,SF,Clay,Rafael Nadal #1
"Apr 16, 2011*",Monte Carlo Masters,Masters 1000,SF,Clay,Rafael Nadal #1
"Nov 28, 2010*",Tour Finals,ATP Finals,SF,Hard,Rafael Nadal #1
"Aug 14, 2010*",Canada Masters,Masters 1000,SF,Hard,Andy Murray #4
"Jul 3, 2010*",Wimbledon,Grand Slam,SF,Grass,Rafael Nadal #1
"Jan 28, 2010*",Australian Open,Grand Slam,QF,Hard,Andy Murray #4
"Apr 18, 2009*",Monte Carlo Masters,Masters 1000,SF,Clay,Rafael Nadal #1
"Mar 22, 2009*",Indian Wells Masters,Masters 1000,F,Hard,Rafael Nadal #1
"Feb 15, 2009*",Rotterdam,ATP 500,F,Hard,Andy Murray #4
"Sep 6, 2008*",US Open,Grand Slam,SF,Hard,Andy Murray #6
"Jul 26, 2008*",Canada Masters,Masters 1000,SF,Hard,Rafael Nadal #2
"Jul 3, 2008*",Wimbledon,Grand Slam,QF,Grass,Rafael Nadal #2
"May 16, 2008*",Hamburg Masters,Masters 1000,R16,Clay,Rafael Nadal #2
"Oct 19, 2007*",Madrid Masters,Masters 1000,R16,Hard,Rafael Nadal #2
"Jan 23, 2007*",Australian Open,Grand Slam,R16,Hard,Rafael Nadal #2
