tournament,event,round,surface,winner,score
"Jul 13, 2019*",Wimbledon,Grand Slam,SF,Grass,Roger Federer #3
"Jun 8, 2019*",Roland Garros,Grand Slam,SF,Clay,Rafael Nadal #2
"Mar 16, 2019*",Indian Wells Masters,Masters 1000,SF,Hard,Roger Federer #4
"Oct 15, 2017*",Shanghai Masters,Masters 1000,F,Hard,Roger Federer #2
"Apr 2, 2017*",Miami Masters,Masters 1000,F,Hard,Roger Federer #6
"Mar 16, 2017*",Indian Wells Masters,Masters 1000,R16,Hard,Roger Federer #10
"Jan 29, 2017*",Australian Open,Grand Slam,F,Hard,Roger Federer #17
"Nov 1, 2015*",Basel,ATP 500,F,Hard,Roger Federer #3
"Jan 25, 2014*",Australian Open,Grand Slam,SF,Hard,Rafael Nadal #1
"Nov 11, 2013*",Tour Finals,ATP Finals,SF,Hard,Rafael Nadal #1
"Aug 17, 2013*",Cincinnati Masters,Masters 1000,QF,Hard,Rafael Nadal #3
"May 19, 2013*",Rome Masters,Masters 1000,F,Clay,Rafael Nadal #5
"Mar 15, 2013*",Indian Wells Masters,Masters 1000,QF,Hard,Rafael Nadal #5
"Mar 17, 2012*",Indian Wells Masters,Masters 1000,SF,Hard,Roger Federer #3
"Jan 28, 2012*",Australian Open,Grand Slam,SF,Hard,Rafael Nadal #2
"Nov 20, 2011",Tour Finals,ATP Finals,RR,Hard,Roger Federer #4
"Jun 5, 2011*",Roland Garros,Grand Slam,F,Clay,Rafael Nadal #1
"May 7, 2011*",Madrid Masters,Masters 1000,SF,Clay,Rafael Nadal #1
"Apr 2, 2011*",Miami Masters,Masters 1000,SF,Hard,Rafael Nadal #1
"Nov 29, 2010*",Tour Finals,ATP Finals,F,Hard,Roger Federer #2
"May 16, 2010*",Madrid Masters,Masters 1000,F,Clay,Rafael Nadal #3
"May 17, 2009*",Madrid Masters,Masters 1000,F,Clay,Roger Federer #2
"Feb 1, 2009*",Australian Open,Grand Slam,F,Hard,Rafael Nadal #1
"Jul 6, 2008*",Wimbledon,Grand Slam,F,Grass,Rafael Nadal #2
"Jun 8, 2008*",Roland Garros,Grand Slam,F,Clay,Rafael Nadal #2
"May 18, 2008*",Hamburg Masters,Masters 1000,F,Clay,Rafael Nadal #2
"Apr 27, 2008*",Monte Carlo Masters,Masters 1000,F,Clay,Rafael Nadal #2
"Nov 19, 2007*",Masters Cup,ATP Finals,SF,Hard,Roger Federer #1
"Jul 8, 2007*",Wimbledon,Grand Slam,F,Grass,Roger Federer #1
"Jun 10, 2007*",Roland Garros,Grand Slam,F,Clay,Rafael Nadal #2
"May 20, 2007*",Hamburg Masters,Masters 1000,F,Clay,Roger Federer #1
"Apr 22, 2007*",Monte Carlo Masters,Masters 1000,F,Clay,Rafael Nadal #2
"Nov 20, 2006*",Masters Cup,ATP Finals,SF,Hard,Roger Federer #1
"Jul 10, 2006*",Wimbledon,Grand Slam,F,Grass,Roger Federer #1
"Jun 12, 2006*",Roland Garros,Grand Slam,F,Clay,Rafael Nadal #2
"May 15, 2006*",Rome Masters,Masters 1000,F,Clay,Rafael Nadal #2
"Apr 24, 2006*",Monte Carlo Masters,Masters 1000,F,Clay,Rafael Nadal #2
"Mar 5, 2006*",Dubai,ATP 250,F,Hard,Rafael Nadal #2
"Jun 5, 2005*",Roland Garros,Grand Slam,SF,Clay,Rafael Nadal #5
"Mar 28, 2005*",Miami Masters,Masters 1000,F,Hard,Roger Federer #1
"Mar 25, 2004*",Miami Masters,Masters 1000,R32,Hard,Rafael Nadal #34
