tournament,event,round,surface,winner,score
"Aug 22, 2015*",Cincinnati Masters,Masters 1000,SF,Hard,Roger Federer #3
"Jul 11, 2015*",Wimbledon,Grand Slam,SF,Grass,Roger Federer #2
"Nov 9, 2014",Tour Finals,ATP Finals,RR,Hard,Roger Federer #2
"Aug 16, 2014*",Cincinnati Masters,Masters 1000,QF,Hard,Roger Federer #3
"Jan 23, 2014*",Australian Open,Grand Slam,QF,Hard,Roger Federer #6
"Jan 26, 2013*",Australian Open,Grand Slam,SF,Hard,Andy Murray #3
"Nov 12, 2012*",Tour Finals,ATP Finals,SF,Hard,Roger Federer #2
"Oct 13, 2012*",Shanghai Masters,Masters 1000,SF,Hard,Andy Murray #3
"Jul 8, 2012*",Wimbledon,Grand Slam,F,Grass,Roger Federer #3
"Mar 3, 2012*",Dubai,ATP 500,F,Hard,Roger Federer #3
"Nov 21, 2010",Tour Finals,ATP Finals,RR,Hard,Roger Federer #2
"Oct 17, 2010*",Shanghai Masters,Masters 1000,F,Hard,Andy Murray #4
"Aug 15, 2010*",Canada Masters,Masters 1000,F,Hard,Andy Murray #4
"Jan 31, 2010*",Australian Open,Grand Slam,F,Hard,Roger Federer #1
"Nov 22, 2009",Tour Finals,ATP Finals,RR,Hard,Roger Federer #1
"Aug 22, 2009*",Cincinnati Masters,Masters 1000,SF,Hard,Roger Federer #1
"Mar 21, 2009*",Indian Wells Masters,Masters 1000,SF,Hard,Andy Murray #4
"Jan 10, 2009*",Doha,ATP 250,SF,Hard,Andy Murray #4
"Nov 9, 2008",Masters Cup,ATP Finals,RR,Hard,Andy Murray #4
"Oct 18, 2008*",Madrid Masters,Masters 1000,SF,Hard,Andy Murray #4
"Sep 7, 2008*",US Open,Grand Slam,F,Hard,Roger Federer #2
"Mar 6, 2008*",Dubai,ATP 500,R32,Hard,Andy Murray #11
"Aug 17, 2006*",Cincinnati Masters,Masters 1000,R32,Hard,Andy Murray #21
"Oct 2, 2005*",Bangkok,ATP 250,F,Hard,Roger Federer #1
