date,tournament,category,round,surface,winner,score,loser
"Jan 12, 1978*",Masters,ATP Finals,F,Carpet,Jimmy Connors #1,6-4 1-6 6-4,Bjorn Borg #3
"Jan 11, 1978*",Masters,ATP Finals,SF,Carpet,Jimmy Connors #1,6-4 3-6 6-3,Brian Gottfried #5
"Jan 11, 1978*",Masters,ATP Finals,SF,Carpet,Bjorn Borg #3,6-3 6-3,Guillermo Vilas #2
"Jan 4, 1978*",Zurich,ATP 250,F,Hard,Jan Norback #161,7-5 6-2,Jacek Niedzwiedzki #201
"Jan 4, 1978",Masters,ATP Finals,RR,Carpet,Manuel Orantes #7,7-6 7-5,Eddie Dibbs #6
"Jan 4, 1978",Masters,ATP Finals,RR,Carpet,Brian Gottfried #5,7-5 6-2,Roscoe Tanner #15
"Jan 4, 1978",Masters,ATP Finals,RR,Carpet,Brian Gottfried #5,(w/o),Bjorn Borg #3
"Jan 4, 1978",Masters,ATP Finals,RR,Carpet,Guillermo Vilas #2,6-4 6-1,Manuel Orantes #7
"Jan 4, 1978",Masters,ATP Finals,RR,Carpet,Raul Ramirez #8,6-4 6-4,Roscoe Tanner #15
"Jan 4, 1978",Masters,ATP Finals,RR,Carpet,Bjorn Borg #3,6-2 6-4,Raul Ramirez #8
"Jan 4, 1978",Masters,ATP Finals,RR,Carpet,Eddie Dibbs #6,(w/o),Guillermo Vilas #2
"Jan 4, 1978",Masters,ATP Finals,RR,Carpet,Guillermo Vilas #2,6-4 3-6 7-5,Jimmy Connors #1
"Jan 4, 1978",Masters,ATP Finals,RR,Carpet,Bjorn Borg #3,6-4 6-7 6-3,Roscoe Tanner #15
"Jan 4, 1978",Masters,ATP Finals,RR,Carpet,Jimmy Connors #1,7-5 6-2,Eddie Dibbs #6
"Jan 4, 1978",Masters,ATP Finals,RR,Carpet,Brian Gottfried #5,6-7 6-2 6-4,Raul Ramirez #8
"Jan 4, 1978",Masters,ATP Finals,RR,Carpet,Jimmy Connors #1,6-2 6-3,Manuel Orantes #7
"Jan 3, 1978*",Zurich,ATP 250,SF,Hard,Jacek Niedzwiedzki #201,3-6 6-1 6-3,Frank Gebert #85
"Jan 3, 1978*",Zurich,ATP 250,SF,Hard,Jan Norback #161,6-3 6-2,Nicola Spear #122
"Jan 3, 1978*",Zurich,ATP 250,QF,Hard,Jacek Niedzwiedzki #201,7-6 6-3,Jiri Granat #72
"Jan 3, 1978*",Zurich,ATP 250,QF,Hard,Jan Norback #161,6-3 6-1,Juan Ignacio Muntanola #278
"Jan 3, 1978*",Zurich,ATP 250,QF,Hard,Frank Gebert #85,6-3 7-6,Eric Deblicker #87
"Jan 3, 1978*",Zurich,ATP 250,QF,Hard,Nicola Spear #122,6-4 7-6,Bernard Mignot #278
"Jan 2, 1978*",Australian Open (2),Grand Slam,F,Grass,Vitas Gerulaitis #4,6-3 7-6 5-7 3-6 6-2,John Lloyd
"Jan 2, 1978*",Zurich,ATP 250,R16,Hard,Jan Norback #161,6-3 6-4,Lajos Levai #305
"Jan 2, 1978*",Zurich,ATP 250,R16,Hard,Jacek Niedzwiedzki #201,3-6 7-5 6-3,M Borgener
"Jan 2, 1978*",Zurich,ATP 250,R16,Hard,Eric Deblicker #87,2-6 6-3 7-6,Rolf Thung #263
"Jan 2, 1978*",Zurich,ATP 250,R16,Hard,Nicola Spear #122,6-2 6-0,R Bortulan
"Jan 2, 1978*",Zurich,ATP 250,R16,Hard,Frank Gebert #85,6-3 7-5,Reinhart Probst #323
"Jan 2, 1978*",Zurich,ATP 250,R16,Hard,Juan Ignacio Muntanola #278,4-6 6-2 6-1,Aly El Dawoudi
"Jan 2, 1978*",Zurich,ATP 250,R16,Hard,Jiri Granat #72,7-6 7-6,Nikola Pilic #91
"Jan 2, 1978*",Zurich,ATP 250,R16,Hard,Bernard Mignot #278,4-6 7-6 6-1,Rolf Norberg #163
"Jan 1, 1978*",Australian Open (2),Grand Slam,SF,Grass,Vitas Gerulaitis #4,6-1 6-2 6-4,John Alexander #18
"Jan 1, 1978*",Australian Open (2),Grand Slam,SF,Grass,John Lloyd,6-4 6-2 6-0,Bob Giltinan #76
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,R Bortulan,6-7 6-4 6-2,Bernard Fritz #189
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,Jacek Niedzwiedzki #201,6-2 6-3,B Renault
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,Frank Gebert #85,6-4 3-6 6-2,Louk Sanders #98
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,Bernard Mignot #278,6-2 6-3,Christophe Casa #194
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,Juan Ignacio Muntanola #278,7-6 6-4,Dimitri Sturdza #365
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,Reinhart Probst #323,7-5 6-4,R Vasselin
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,Eric Deblicker #87,6-1 6-3,Rolf Spitzer
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,M Borgener,6-3 3-6 7-6,Douglas Palm #173
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,Nicola Spear #122,3-6 6-1 6-3,Heinz Gunthardt #221
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,Nikola Pilic #91,6-4 6-7 6-4,H Lerke
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,Rolf Norberg #163,6-4 6-1,Patrice Hagelauer #414
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,Aly El Dawoudi,7-6 7-6,Hubertus Hoyt #232
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,Rolf Thung #263,7-5 6-2,Peter Kanderal #414
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,Jan Norback #161,6-2 7-5,Georges Goven #78
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,Jiri Granat #72,6-2 6-0,Jose Moreno
"Jan 1, 1978*",Zurich,ATP 250,R32,Hard,Lajos Levai #305,6-3 6-2,Dragan Savic #414
"Dec 30, 1977*",Australian Open (2),Grand Slam,QF,Grass,John Lloyd,3-6 6-3 7-5 7-5,John Newcombe #185
"Dec 30, 1977*",Australian Open (2),Grand Slam,QF,Grass,Vitas Gerulaitis #5,6-7 6-4 6-4 6-2,Ray Ruffels #79
"Dec 30, 1977*",Australian Open (2),Grand Slam,QF,Grass,John Alexander #23,7-6 7-6 4-6 6-1,Ken Rosewall #13
"Dec 30, 1977*",Australian Open (2),Grand Slam,QF,Grass,Bob Giltinan #322,6-4 6-4 3-6 7-6,Robin Drysdale #176
"Dec 28, 1977*",Australian Open (2),Grand Slam,R16,Grass,Ken Rosewall #13,6-4 4-6 6-4 4-6 9-7,Allan Stone #81
"Dec 28, 1977*",Australian Open (2),Grand Slam,R16,Grass,Robin Drysdale #176,6-3 7-6 7-6,Karl Meiler #35
"Dec 28, 1977*",Australian Open (2),Grand Slam,R16,Grass,Vitas Gerulaitis #5,6-4 6-4 6-4,Dick Bohrnstedt
"Dec 28, 1977*",Australian Open (2),Grand Slam,R16,Grass,Bob Giltinan #322,6-3 6-3 7-6,Chris Lewis #55
"Dec 28, 1977*",Australian Open (2),Grand Slam,R16,Grass,Ray Ruffels #79,6-3 3-6 6-4 6-3,Tim Gullikson
"Dec 28, 1977*",Australian Open (2),Grand Slam,R16,Grass,John Alexander #23,7-6 6-7 6-1 6-2,Bill Scanlon #37
"Dec 28, 1977*",Australian Open (2),Grand Slam,R16,Grass,John Newcombe #185,6-3 7-6 7-5,Stan Smith #24
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,John Newcombe #185,6-4 7-6 6-3,Colin Dibley #34
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,Bill Scanlon #37,6-2 2-6 6-3 6-4,Alvin Gardiner #167
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,Dick Bohrnstedt,6-2 6-4 6-7 6-4,John James #97
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,Robin Drysdale #176,7-6 6-1 6-4,Phil Dent #20
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,Chris Lewis #55,6-0 6-3 6-3,Geoff Masters #77
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,Cliff Letcher,7-6 6-2 3-6 6-2,Richard Lewis #83
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,Karl Meiler #35,7-6 6-7 6-2 2-1 (ret.),Peter Feigl #281
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,Allan Stone #81,6-1 6-1 6-1,Barry Phillips Moore
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,Tim Gullikson,6-2 6-2 6-1,Noel Phillips
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,Vitas Gerulaitis #5,6-4 6-3 6-3,Brad Drewett #228
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,Ken Rosewall #13,6-3 6-2 6-3,Bill Lloyd
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,Bob Giltinan #322,7-6 6-3 6-4,Jan Norback #109
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,John Alexander #23,6-3 6-4 5-7 6-2,Chris Kachel #151
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,Stan Smith #24,4-6 6-3 7-6 6-3,Dick Crealy #68
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,Ray Ruffels #79,6-3 6-2 6-3,Paul Mcnamee #94
"Dec 25, 1977*",Australian Open (2),Grand Slam,R32,Grass,John Lloyd,0-6 6-3 7-6 6-2,Jorge Andrew #118
"Dec 23, 1977*",Australian Open (2),Grand Slam,R64,Grass,Paul Mcnamee #94,7-5 6-7 7-6 7-5,Kim Warwick #43
"Dec 23, 1977*",Australian Open (2),Grand Slam,R64,Grass,Colin Dibley #34,6-3 6-2 6-2,Eliot Teltscher #99
"Dec 23, 1977*",Australian Open (2),Grand Slam,R64,Grass,Chris Kachel #151,7-6 7-5 (ret.),Mal Anderson #366
"Dec 23, 1977*",Australian Open (2),Grand Slam,R64,Grass,Dick Crealy #68,6-2 7-6 5-7 6-3,Peter Campbell #300
"Dec 23, 1977*",Australian Open (2),Grand Slam,R64,Grass,John Lloyd,4-6 6-3 4-6 6-4 6-4,Syd Ball #168
"Dec 23, 1977*",Australian Open (2),Grand Slam,R64,Grass,Vitas Gerulaitis #5,7-6 6-0 6-1,John Marks #174
"Dec 23, 1977*",Australian Open (2),Grand Slam,R64,Grass,Ken Rosewall #13,6-4 7-6 6-3,Dale Collings #366
"Dec 23, 1977*",Australian Open (2),Grand Slam,R64,Grass,Chris Lewis #55,3-6 6-3 6-2 1-6 6-4,Roscoe Tanner #11
"Dec 23, 1977*",Australian Open (2),Grand Slam,R64,Grass,Cliff Letcher,6-2 7-6 6-1,Tim Wilkison #93
