name,url
Alexander Blockx,https://www.tennis-db.com/players/215/alexander-blockx
BEL,https://www.tennis-db.com/players/country/belgium
Mariano Navone,https://www.tennis-db.com/players/72/mariano-navone
ARG,https://www.tennis-db.com/players/country/argentina
Ignacio Buse,https://www.tennis-db.com/players/100/ignacio-buse
PER,https://www.tennis-db.com/players/country/peru
Rafael Jodar,https://www.tennis-db.com/players/265/rafael-jodar
ESP,https://www.tennis-db.com/players/country/spain
Jaime Faria,https://www.tennis-db.com/players/251/jaime-faria
POR,https://www.tennis-db.com/players/country/portugal
Raphael Collignon,https://www.tennis-db.com/players/84/raphael-collignon
Joao Fonseca,https://www.tennis-db.com/players/29/joao-fonseca
BRA,https://www.tennis-db.com/players/country/brazil
Eliot Spizzirri,https://www.tennis-db.com/players/89/eliot-spizzirri
USA,https://www.tennis-db.com/players/country/united-states
Sho Shimabukuro,https://www.tennis-db.com/players/247/sho-shimabukuro
JPN,https://www.tennis-db.com/players/country/japan
Thiago Agustin Tirante,https://www.tennis-db.com/players/203/thiago-agustin-tirante
Jenson Brooksby,https://www.tennis-db.com/players/49/jenson-brooksby
Alexander Bublik,https://www.tennis-db.com/players/11/alexander-bublik
KAZ,https://www.tennis-db.com/players/country/kazakhstan
Corentin Moutet,https://www.tennis-db.com/players/32/corentin-moutet
FRA,https://www.tennis-db.com/players/country/france
Gabriel Diallo,https://www.tennis-db.com/players/40/gabriel-diallo
CAN,https://www.tennis-db.com/players/country/canada
Aleksandar Vukic,https://www.tennis-db.com/players/87/aleksandar-vukic
AUS,https://www.tennis-db.com/players/country/australia
Fabian Marozsan,https://www.tennis-db.com/players/53/fabian-marozsan
HUN,https://www.tennis-db.com/players/country/hungary
Jaume Munar,https://www.tennis-db.com/players/38/jaume-munar
Alex de Minaur,https://www.tennis-db.com/players/6/alex-de-minaur
Alejandro Davidovich Fokina,https://www.tennis-db.com/players/14/alejandro-davidovich-fokina
Valentin Royer,https://www.tennis-db.com/players/56/valentin-royer
"Alberto Berasategui
#1019 · 14 titles",https://www.tennis-db.com/players/222555/alberto-berasategui
"Alex Corretja
#1110 · 17 titles",https://www.tennis-db.com/players/222274/alex-corretja
"Andrey Rublev
#13 · 17 titles",https://www.tennis-db.com/players/16/andrey-rublev
"Carlos Alcaraz
#2 · 26 titles",https://www.tennis-db.com/players/1/carlos-alcaraz
"Emilio Sanchez
#1301 · 15 titles",https://www.tennis-db.com/players/222423/emilio-sanchez
"Ivan Lendl
#667 · 94 titles",https://www.tennis-db.com/players/222281/ivan-lendl
"Ivan Ljubicic
#53 · 10 titles",https://www.tennis-db.com/players/222144/ivan-ljubicic
"Jannik Sinner
#1 · 29 titles",https://www.tennis-db.com/players/2/jannik-sinner
"Juan Martin del Potro
#761 · 22 titles",https://www.tennis-db.com/players/222162/juan-martin-del-potro
"Lorenzo Musetti
#15 · 2 titles",https://www.tennis-db.com/players/7/lorenzo-musetti
"Mikhail Youzhny
#115 · 10 titles",https://www.tennis-db.com/players/222247/mikhail-youzhny
"Sandy Mayer
#508 · 12 titles",https://www.tennis-db.com/players/4472253/sandy-mayer
"Tim Mayotte
#1103 · 12 titles",https://www.tennis-db.com/players/4101717/tim-mayotte
"Vijay Amritraj
#1178 · 16 titles",https://www.tennis-db.com/players/4043434/vijay-amritraj
Algeria,https://www.tennis-db.com/players/country/algeria
Andorra,https://www.tennis-db.com/players/country/andorra
Armenia,https://www.tennis-db.com/players/country/armenia
Austria,https://www.tennis-db.com/players/country/austria
Bahamas,https://www.tennis-db.com/players/country/bahamas
Barbados,https://www.tennis-db.com/players/country/barbados
Belarus,https://www.tennis-db.com/players/country/belarus
Bolivia,https://www.tennis-db.com/players/country/bolivia
Bosnia And Herzegovina,https://www.tennis-db.com/players/country/bosnia-and-herzegovina
Bulgaria,https://www.tennis-db.com/players/country/bulgaria
Chile,https://www.tennis-db.com/players/country/chile
China,https://www.tennis-db.com/players/country/china
Colombia,https://www.tennis-db.com/players/country/colombia
Costa Rica,https://www.tennis-db.com/players/country/costa-rica
Croatia,https://www.tennis-db.com/players/country/croatia
Cuba,https://www.tennis-db.com/players/country/cuba
Cyprus,https://www.tennis-db.com/players/country/cyprus
Czechia,https://www.tennis-db.com/players/country/czechia
Denmark,https://www.tennis-db.com/players/country/denmark
Dominican Republic,https://www.tennis-db.com/players/country/dominican-republic
Ecuador,https://www.tennis-db.com/players/country/ecuador
Egypt,https://www.tennis-db.com/players/country/egypt
El Salvador,https://www.tennis-db.com/players/country/el-salvador
Estonia,https://www.tennis-db.com/players/country/estonia
Finland,https://www.tennis-db.com/players/country/finland
Georgia,https://www.tennis-db.com/players/country/georgia
Germany,https://www.tennis-db.com/players/country/germany
Greece,https://www.tennis-db.com/players/country/greece
Haiti,https://www.tennis-db.com/players/country/haiti
Hong Kong,https://www.tennis-db.com/players/country/hong-kong
India,https://www.tennis-db.com/players/country/india
Indonesia,https://www.tennis-db.com/players/country/indonesia
Iran,https://www.tennis-db.com/players/country/iran
Ireland,https://www.tennis-db.com/players/country/ireland
Israel,https://www.tennis-db.com/players/country/israel
Italy,https://www.tennis-db.com/players/country/italy
