rank,player,country,points,wins,losses,win_pct,titles,elo
1,Jimmy Connors,USA,—,97,8,92.4%,12,"2,370"
2,Bjorn Borg,SWE,—,54,12,81.8%,6,"2,292"
3,Ilie Nastase,ROU,—,76,17,81.7%,5,"2,179"
4,Manuel Orantes,ESP,—,77,17,81.9%,7,"2,181"
5,Raul Ramirez,MEX,—,96,33,74.4%,4,"2,054"
6,Guillermo Vilas,ARG,—,82,20,80.4%,6,"2,079"
7,Adriano Panatta,ITA,—,40,15,72.7%,2,"2,020"
8,Harold Solomon,USA,—,72,29,71.3%,5,"2,041"
9,Eddie Dibbs,USA,—,83,28,74.8%,4,"2,053"
10,Brian Gottfried,USA,—,68,29,70.1%,1,"2,110"
11,Roscoe Tanner,USA,—,70,28,71.4%,4,"2,012"
12,Arthur Ashe,USA,—,64,21,75.3%,5,"1,965"
13,Ken Rosewall,AUS,—,35,18,66.0%,2,"1,974"
14,Wojtek Fibak,POL,—,74,31,70.5%,3,"2,070"
15,Dick Stockton,USA,—,58,26,69.0%,1,"1,988"
17,Mark Cox,GBR,—,22,15,59.5%,1,"1,954"
18,Vitas Gerulaitis,USA,—,33,21,61.1%,0,"1,955"
19,Jan Kodes,CZE,—,49,21,70.0%,1,"1,983"
21,John Newcombe,AUS,—,21,17,55.3%,0,"1,827"
22,Corrado Barazzutti,ITA,—,32,15,68.1%,1,"1,784"
23,Tom Okker,NED,—,33,18,64.7%,0,"1,956"
24,Jaime Fillol,CHI,—,47,27,63.5%,1,"1,928"
25,Cliff Drysdale,RSA,—,17,13,56.7%,0,"1,833"
26,Francois Jauffret,FRA,—,24,13,64.9%,0,"1,831"
27,Ray Ruffels,AUS,—,34,20,63.0%,1,"1,782"
28,Cliff Richey,USA,—,33,24,57.9%,1,"1,848"
29,Onny Parun,NZL,0,38,23,62.3%,2,"1,816"
30,Antonio Zugarelli,ITA,—,20,16,55.6%,1,"1,706"
31,Balazs Taroczy,HUN,—,37,19,66.1%,1,"1,866"
31,Vijay Amritraj,IND,—,29,20,59.2%,2,"1,831"
33,Paolo Bertolucci,ITA,—,33,17,66.0%,2,"1,830"
34,Victor Pecci,PAR,—,46,29,61.3%,2,"1,813"
35,Mark Edmondson,AUS,—,42,29,59.1%,2,"1,754"
36,Brian Fairlie,NZL,—,40,28,58.8%,1,"1,843"
37,Phil Dent,AUS,—,28,22,56.0%,0,"1,846"
38,Dick Crealy,AUS,—,46,34,57.5%,0,"1,779"
39,Raymond Moore,RSA,—,39,31,55.7%,0,"1,799"
40,Hans Jurgen Pohmann,GER,—,25,18,58.1%,0,"1,748"
41,Buster C Mottram,GBR,—,33,16,67.3%,1,"1,852"
42,Jose Higueras,ESP,—,32,19,62.8%,1,"1,860"
43,Ove Bengtson,SWE,—,13,10,56.5%,0,"1,669"
44,Zeljko Franulovic,CRO,—,39,24,61.9%,1,"1,916"
45,Ross Case,AUS,—,28,24,53.9%,0,"1,832"
46,Tom Gorman,USA,—,31,25,55.4%,2,"1,747"
47,John Alexander,AUS,—,19,21,47.5%,0,"1,851"
48,Gene Mayer,USA,—,17,16,51.5%,0,"1,700"
49,Haroon Rahim,PAK,—,29,18,61.7%,2,"1,807"
50,Tony Roche,AUS,—,17,11,60.7%,2,"2,016"
51,Ricardo Cano,ARG,—,43,26,62.3%,0,"1,733"
52,Bill Scanlon,USA,—,15,17,46.9%,0,"1,651"
53,Geoff Masters,AUS,—,27,31,46.5%,1,"1,780"
54,Karl Meiler,GER,—,26,23,53.1%,0,"1,818"
56,Charlie Pasarell,USA,—,24,25,49.0%,0,"1,815"
57,Byron Bertram,RSA,—,21,23,47.7%,0,"1,728"
58,Thomaz Koch,BRA,—,15,8,65.2%,0,"1,803"
59,Marty Riessen,USA,—,18,23,43.9%,0,"1,822"
60,Jeff Borowiak,USA,—,18,23,43.9%,0,"1,720"
62,Billy Martin,USA,—,29,31,48.3%,0,"1,708"
64,Jim Delaney,USA,—,20,29,40.8%,0,"1,631"
65,Bernie Mitton,RSA,—,16,21,43.2%,0,"1,748"
66,Belus Prajoux,CHI,—,13,14,48.1%,0,"1,695"
67,Kim Warwick,AUS,—,28,32,46.7%,1,"1,746"
68,Nikola Pilic,CRO,—,13,14,48.1%,0,"1,743"
69,Jiri Hrebec,CZE,—,26,26,50.0%,0,"1,768"
70,Hans Kary,AUT,—,25,27,48.1%,0,"1,646"
71,Ulrich Pinner,GER,—,11,11,50.0%,0,"1,709"
71,Terry Moor,USA,—,9,11,45.0%,0,"1,575"
73,Rod Laver,AUS,—,9,11,45.0%,0,"1,995"
73,James Chico Hagey,USA,—,8,9,47.1%,0,"1,532"
75,Sandy Mayer,USA,—,13,15,46.4%,0,"1,852"
77,Steve Krulevitz,USA,—,23,23,50.0%,0,"1,749"
78,Jun Kuki,JPN,—,19,17,52.8%,0,"1,610"
79,Butch Walts,USA,—,16,13,55.2%,1,"1,661"
80,Roger Taylor,GBR,—,13,14,48.1%,0,"1,702"
81,Mike Estep,USA,—,16,15,51.6%,1,"1,661"
81,Brian Teacher,USA,—,11,12,47.8%,0,"1,625"
83,Bob Hewitt,RSA,—,11,22,33.3%,0,"1,666"
84,Trey Waltke,USA,—,14,21,40.0%,0,"1,614"
85,Colin Dibley,AUS,—,39,39,50.0%,0,"1,655"
86,Frew Mcmillan,RSA,—,13,20,39.4%,1,"1,722"
89,Syd Ball,AUS,—,8,19,29.6%,0,"1,546"
90,Sashi Menon,IND,—,18,26,40.9%,0,"1,641"
91,Ivan Molina,COL,—,22,23,48.9%,0,"1,630"
