name,winner,location,country,start_date,end_date,category,surface,prize_money
Brisbane International Presented by ANZ,Daniil Medvedev,Brisbane,Australia,"Jan 4, 2026","Jan 11, 2026",ATP 250,Hard,"$800,045"
Bank of China Hong Kong Tennis Open,Alexander Bublik,Hong Kong,Hong Kong,"Jan 5, 2026","Jan 11, 2026",ATP 250,Hard,"$700,045"
Adelaide International,Tomas Machac,Adelaide,Australia,"Jan 12, 2026","Jan 17, 2026",ATP 250,Hard,"$700,045"
ASB Classic,Jakub Mensik,Auckland,New Zealand,"Jan 12, 2026","Jan 17, 2026",ATP 250,Hard,"$700,045"
Australian Open,Carlos Alcaraz,Melbourne,Australia,"Jan 18, 2026","Feb 1, 2026",Grand Slam,Hard,"A$49,171,000"
Open Occitanie,Felix Auger-Aliassime,Montpellier,France,"Feb 2, 2026","Feb 8, 2026",ATP 250,Hard,"€612,620"
ABN AMRO Open,Alex de Minaur,Rotterdam,Netherlands,"Feb 9, 2026","Feb 15, 2026",ATP 500,Hard,"€2,462,660"
Ieb+ Argentina Open,Francisco Cerundolo,Buenos Aires,Argentina,"Feb 9, 2026","Feb 15, 2026",ATP 250,Clay,"$675,310"
Nexo Dallas Open,Ben Shelton,Dallas,United States,"Feb 9, 2026","Feb 15, 2026",ATP 500,Hard,"$2,833,335"
Qatar ExxonMobil Open,Carlos Alcaraz,Doha,Qatar,"Feb 16, 2026","Feb 21, 2026",ATP 500,Hard,"$2,833,335"
Delray Beach Open,Sebastian Korda,Delray Beach,United States,"Feb 16, 2026","Feb 22, 2026",ATP 250,Hard,"$700,045"
Rio Open Presented by Claro,Tomas Martin Etcheverry,Rio de Janeiro,Brazil,"Feb 16, 2026","Feb 22, 2026",ATP 500,Clay,"$2,469,450"
Abierto Mexicano Telcel Presentado Por HSBC,Flavio Cobolli,Acapulco,Mexico,"Feb 23, 2026","Feb 28, 2026",ATP 500,Hard,"$2,469,450"
Dubai Duty Free Tennis Championships,Daniil Medvedev,Dubai,United Arab Emirates,"Feb 23, 2026","Feb 28, 2026",ATP 500,Hard,"$3,311,005"
BCI Seguros Chile Open,Luciano Darderi,Santiago,Chile,"Feb 23, 2026","Mar 1, 2026",ATP 250,Clay,"$700,045"
BNP Paribas Open,Jannik Sinner,Indian Wells,United States,"Mar 4, 2026","Mar 15, 2026",Masters 1000,Hard,"$9,415,725"
Miami Open Presented by Itau,Jannik Sinner,Miami,United States,"Mar 18, 2026","Mar 29, 2026",Masters 1000,Hard,"$9,415,725"
Fayez Sarofim & Co. U.S. Men's Clay Court Championship,Tommy Paul,Houston,United States,"Mar 30, 2026","Apr 5, 2026",ATP 250,Clay,"$700,045"
Grand Prix Hassan II,Rafael Jodar,Marrakech,Morocco,"Mar 30, 2026","Apr 5, 2026",ATP 250,Clay,"€612,620"
