date,tournament,player1,player2,sets1,sets2,score,odd1,odd2
2025-01-01,United Cup,Fritz T.,Zhang Z.,2,0,6-4 6-4,1.13,5.73
2025-01-01,United Cup,De Minaur A.,Harris B.,2,0,6-2 6-1,1.05,9.69
2025-01-01,United Cup,Shevchenko A.,Masur D.,2,1,65-7 6-2 6-2,1.04,7.01
2025-01-01,United Cup,Machac T.,Hurkacz H.,2,1,7-5 3-6 6-4,1.75,2.04
2025-01-01,Brisbane,Thompson J. (8),Michelsen A.,2,0,7-5 6-3,1.69,2.16
2025-01-01,Brisbane,Dimitrov G. (2),Vukic A.,2,0,6-2 7-65,1.20,4.52
2025-01-01,Brisbane,Jarry N.,Bonzi B.,2,0,6-2 6-3,2.49,1.53
2025-01-01,Brisbane,Lehecka J.,Nishioka Y.,2,1,6-2 65-7 6-4,1.41,2.89
2025-01-01,Hong Kong ATP,Nishikori K.,Khachanov K. (3),2,1,4-6 6-3 7-5,2.17,1.67
2025-01-01,Hong Kong ATP,Fils A. (4),Bergs Z.,2,0,7-67 6-4,1.45,2.70
2025-01-01,Hong Kong ATP,Norrie C.,Sonego L.,2,1,6-2 4-6 6-1,1.60,2.31
2025-01-01,Hong Kong ATP,Muller A.,Kecmanovic M.,2,1,5-7 7-66 7-610,2.79,1.43
2025-01-01,Noumea challenger,Fucsovics M. (2),Janvier M.,2,1,6-4 3-6 6-3,1.17,4.74
2025-01-01,Noumea challenger,Rodionov J. (6),Paire B.,2,1,6-4 5-7 6-2,1.44,2.64
2025-01-01,Noumea challenger,Lestienne C. (8),Holmgren A.,2,1,5-7 6-2 7-61,1.58,2.28
2025-01-01,Noumea challenger,Couacaud E.,Takahashi Y.,2,0,6-3 6-4,1.30,3.38
2025-01-01,Noumea challenger,Bouzige M.,Camus C.,2,0,7-5 6-3,1.22,3.97
2025-01-01,Noumea challenger,Vacherot V. (4),Taguchi R.,2,0,6-1 6-2,1.24,3.77
2025-01-01,Noumea challenger,Ichikawa T.,Brouwer G. (7),2,0,6-1 6-4,7.25,1.08
2025-01-01,Noumea challenger,Mochizuki S.,Ilagan A.,2,1,65-7 6-4 6-2,1.53,2.38
2025-01-01,Canberra 2 challenger,Landaluce M.,Sweeny D.,2,0,6-1 6-2,1.14,5.27
2025-01-01,Canberra 2 challenger,Fonseca J.,Ajdukovic D.,2,0,6-1 7-5,1.17,4.81
2025-01-01,Canberra 2 challenger,Watanuki Y.,Burruchaga R.,2,1,6-3 3-6 7-65,1.40,2.78
2025-01-01,Canberra 2 challenger,Quinn E.,Kypson P.,2,1,3-6 7-65 6-4,1.75,2.00
2025-01-01,Canberra 2 challenger,Eubanks C.,Galarneau A.,2,0,6-4 6-4,1.68,2.10
2025-01-01,Canberra 2 challenger,Kopriva V.,Dzumhur D. (3),2,0,7-5 7-5,1.85,1.83
2025-01-01,Canberra 2 challenger,Fearnley J. (6),Trotter J.,2,0,6-2 6-4,1.54,2.40
2025-01-01,Canberra 2 challenger,Mayot H.,Galan D.,2,0,7-65 6-4,1.64,2.17
2025-01-01,Nonthaburi challenger,Karatsev A.,Hassan B. (8),2,0,6-3 6-2,1.44,2.61
2025-01-01,Nonthaburi challenger,Barrere G. (2),Svrcina D.,2,0,7-5 7-65,2.02,1.72
2025-01-01,Nonthaburi challenger,Dalla Valle E.,Trungelliti M. (1),2,0,7-64 6-3,2.20,1.62
2025-01-01,Nonthaburi challenger,Sultanov K.,Moriya H.,2,0,6-4 6-2,1.47,2.55
2025-01-01,Nonthaburi challenger,Mager G.,Droguet T. (4),2,1,6-4 3-6 6-3,2.75,1.41
2025-01-01,Nonthaburi challenger,Neumayer L.,Denolly C.,2,0,6-2 6-4,1.25,3.67
2025-01-01,Nonthaburi challenger,Sakamoto R.,Chidekh C. (5),2,0,6-3 6-0,2.33,1.56
2025-01-01,Nonthaburi challenger,Coppejans K.,Tabur C.,2,0,6-3 6-3,1.54,2.37
2025-01-01,Futures 2024,Bax F.,Kamath M.,2,1,6-3 1-6 6-3,1.10,6.06
2025-01-01,Futures 2024,Zhukov M.,Ramanathan R.,2,0,6-4 6-2,2.57,1.45
2025-01-01,Futures 2024,Agafonov E.,Jaisinghani R.,2,0,7-5 7-63,1.06,7.73
2025-01-01,Futures 2024,Vithoontien L.,Chen X.,2,0,7-5 6-2,1.61,2.17
2025-01-01,Futures 2024,Park S.,Hudd E.,2,0,6-1 6-2,5.05,1.14
2025-01-01,Futures 2024,Huang T.,Yamanaka T.,2,1,6-4 4-6 6-4,1.85,1.84
2025-01-01,Futures 2024,Sumizawa D.,Kusuhara Y.,2,0,6-3 6-0,1.77,1.93
2025-01-01,Futures 2024,Nakagawa S.,Bittoun Kouzmine C.,2,0,6-2 6-1,2.06,1.69
2025-01-01,Futures 2024,Nandal Y.,Inui Y.,2,1,3-6 7-5 7-67,1.57,2.27
2025-01-01,Futures 2024,Gray A.,Kalyanpur A.,2,0,6-3 6-4,1.07,7.00
2025-01-01,Futures 2024,Matsuoka H.,Bobrov B.,2,0,6-4 6-2,1.84,1.84
2025-01-01,Futures 2024,Javia D.,Suresh K.,2,0,6-4 6-4,1.03,11.17
2025-01-01,Futures 2024,Crawford O.,Fomin S.,2,1,1-6 6-2 6-3,1.67,2.09
2025-01-01,Futures 2024,Banerjee S.,Vanshelboim E.,2,0,6-2 6-4,1.37,2.87
2025-01-01,Futures 2024,Suresh D.,Lomakin G.,2,0,6-3 6-4,1.14,4.96
2025-01-01,Futures 2024,Orlov V.,Eqbal I.,2,0,6-4 6-4,1.13,5.33
2025-01-01,Futures 2024,Erhard M.,Sureshkumar M.,2,0,7-5 6-1,1.25,3.57
2025-01-01,Futures 2024,Rawat S.,Munim D.,2,0,6-1 6-1,1.05,8.50
2025-01-01,Futures 2024,Dzhavakian Y.,Vishwakarma S.,2,0,6-2 6-2,1.51,2.46
2025-01-01,Futures 2024,Shah A.,Sinha N.,2,0,6-4 6-2,1.23,3.81
2025-01-01,Futures 2024,Duhan C.,Dev S.,2,0,7-5 6-3,3.24,1.30
2025-01-01,Futures 2024,Vardhan V.,Palan D.,2,0,7-62 7-64,3.00,1.34
2025-01-01,Futures 2024,Chung H.,Tomida Y.,2,0,6-4 6-1,1.14,4.97
2025-01-01,Futures 2024,Ferguson C.,Lee D.,2,1,2-6 6-3 6-3,2.93,1.35
2025-01-01,Futures 2024,Kukasian A.,Arutiunian E.,2,1,3-6 6-2 7-5,2.41,1.52
2025-01-01,Futures 2024,Sornlaksup P.,Masabayashi T.,2,1,6-1 3-6 6-1,1.84,1.85
2025-01-01,Futures 2024,M Rifki F.,Parikh H.,2,0,6-2 6-2,1.10,5.93
2025-01-01,Futures 2024,Hussey G.,Khazime D.,2,0,6-4 6-2,1.10,5.93
2025-01-01,UTR Pro Tennis Series 3,Tripathi A.,Papa C.,2,0,6-2 7-65,1.38,2.68
2025-01-01,UTR Pro Tennis Series 3,Butera L.,Adesoro A.,2,0,6-4 6-1,2.33,1.51
2025-01-01,UTR Pro Tennis Series 3,Thomas D.,Wells C.,2,0,6-4 6-4,1.56,2.22
2025-01-01,UTR Pro Tennis Series 3,Van Loben Sels E.,Sun Q.,2,1,4-6 6-3 6-0,1.06,6.58
2025-01-01,UTR Pro Tennis Series 3,Lokko R.,Shokry E.,2,1,4-6 6-4 6-2,3.58,1.23
2025-01-01,UTR Pro Tennis Series 3,Hoogmartens A.,Djakouris C.,2,0,6-0 6-4,1.56,2.22
2025-01-01,UTR Pro Tennis Series 3,Yaffa D.,Antwi S.,2,0,7-65 6-1,1.47,2.43
2025-01-01,UTR Pro Tennis Series 3,Makk P.,Chung J.,2,0,6-4 6-1,1.07,6.17
2025-01-01,UTR Pro Tennis Series 3,Vishal Balsekar A.,Guzauskas G.,2,0,7-5 7-63,3.58,1.23
2025-01-01,UTR Pro Tennis Series 3,Ndumbe E.,Oivas Quiroz H.,2,0,6-3 6-3,1.51,2.31
2025-01-01,UTR Pro Tennis Series 3,Djakouris A.,Mazev M.,2,0,6-0 6-1,1.32,3.02
2025-01-01,UTR Pro Tennis Series 3,Rajski M.,Perera M.,2,0,6-4 6-2,1.13,4.70
2025-01-01,UTR Pro Tennis Series 3,Bracks I.,Alkotop M.,2,1,7-67 4-6 6-3,3.35,1.26
2025-01-01,UTR Pro Tennis Series 3,Jones R.,Harazaki A.,2,0,7-67 6-2,1.10,5.42
2025-01-01,UTR Pro Tennis Series 3,Hanchaikul P.,Bracks L.,2,0,6-1 6-4,1.02,9.17
2025-01-01,UTR Pro Tennis Series 3,Zamani A.,Bain A.,2,1,64-7 6-3 6-1,1.93,1.72
2025-01-01,UTR Pro Tennis Series 3,Visser A.,Jarvis R.,2,0,6-0 6-2,1.56,2.22
2025-01-01,UTR Pro Tennis Series 3,Alkotop M.,Yaffa D.,2,0,6-4 6-0,1.18,4.11
2025-01-01,UTR Pro Tennis Series 3,Tripathi A.,Chung J.,2,0,6-4 6-2,1.43,2.54
2025-01-01,UTR Pro Tennis Series 3,Papa C.,Rolland D.,2,0,6-2 7-63,1.83,1.81
2025-01-01,UTR Pro Tennis Series 3,Morais D.,Razeghi A.,2,0,6-4 7-61,2.54,1.43
2025-01-02,United Cup,Hurkacz H.,Harris B.,2,0,7-63 7-5,1.11,6.46
2025-01-02,Brisbane,Djokovic N. (1),Monfils G.,2,0,6-3 6-3,1.08,8.30
2025-01-02,Brisbane,Mpetshi Perricard G.,Tiafoe F. (4),2,0,6-4 7-64,2.13,1.71
2025-01-02,Brisbane,Opelka R.,Arnaldi M.,2,0,7-69 7-64,2.43,1.55
2025-01-02,Brisbane,Mensik J.,Lajovic D.,2,0,6-3 6-2,1.25,3.92
2025-01-02,Hong Kong ATP,Marozsan F.,Rublev A. (1),2,1,7-5 3-6 6-3,3.89,1.25
2025-01-02,Hong Kong ATP,Shang J.,Martinez P. (7),2,0,6-3 6-1,1.30,3.42
2025-01-02,Hong Kong ATP,Munar J.,Borges N. (5),2,0,6-3 7-5,2.43,1.55
2025-01-02,Hong Kong ATP,Musetti L. (2),Diallo G.,2,0,6-4 6-3,1.66,2.19
2025-01-02,Noumea challenger,Rodionov J. (6),Couacaud E.,2,1,4-6 6-4 6-2,2.08,1.70
2025-01-02,Noumea challenger,Mochizuki S.,Ichikawa T.,2,0,6-3 6-3,1.16,4.97
2025-01-02,Noumea challenger,Lestienne C. (8),Vacherot V. (4),2,1,6-2 4-6 7-5,1.77,1.96
2025-01-02,Noumea challenger,Bouzige M.,Fucsovics M. (2),2,0,6-3 6-3,7.93,1.07
2025-01-02,Canberra 2 challenger,Quinn E.,Kopriva V.,2,0,6-4 7-5,1.46,2.59
2025-01-02,Canberra 2 challenger,Landaluce M.,Watanuki Y.,1,0,,1.55,2.39
2025-01-02,Canberra 2 challenger,Fonseca J.,Mayot H.,2,0,6-2 6-3,1.25,3.76
2025-01-02,Canberra 2 challenger,Fearnley J. (6),Eubanks C.,2,1,4-6 6-2 7-63,1.47,2.59
