4,S,1,Match,Round,5,Year,2,Tournament,Surface,3
6.0,3,4,Djokovic N.,QF,,2025,6.0,French Open,,6.0
4.0,1,6,Zverev A.,QF,,2025,3.0,French Open,,2.0
,1,7,Zverev A.,SF,,2025,,Australian Open,,
,0,65,Djokovic N.,SF,,2025,,Australian Open,,
,2,7,Djokovic N.,SF,,2023,7.0,Cincinnati,,
,0,65,Zverev A.,SF,,2023,5.0,Cincinnati,,
,2,6,Zverev A.,,,2022,6.0,World Tennis League,,
,0,3,Djokovic N.,,,2022,4.0,World Tennis League,,
,2,7,Zverev A.,SF,,2021,4.0,Masters Cup ATP,,6.0
,1,64,Djokovic N.,SF,,2021,6.0,Masters Cup ATP,,3.0
4.0,3,4,Djokovic N.,SF,6.0,2021,6.0,US Open,,6.0
6.0,2,6,Zverev A.,SF,2.0,2021,2.0,US Open,,4.0
,2,1,Zverev A.,SF,,2021,6.0,Olympics - Tokyo,,6.0
,1,6,Djokovic N.,SF,,2021,3.0,Olympics - Tokyo,,1.0
7.0,3,66,Djokovic N.,QF,,2021,6.0,Australian Open,,6.0
66.0,1,7,Zverev A.,QF,,2021,2.0,Australian Open,,4.0
,2,63,Djokovic N.,,,2021,6.0,ATP Cup,,7.0
,1,7,Zverev A.,,,2021,2.0,ATP Cup,,5.0
,2,6,Djokovic N.,,,2020,7.0,Masters Cup ATP,,
,0,3,Zverev A.,,,2020,64.0,Masters Cup ATP,,
,2,4,Djokovic N.,,,2020,1.0,Adria Tour 2,,4.0
,1,0,Zverev A.,,,2020,4.0,Adria Tour 2,,2.0
,3,7,Djokovic N.,QF,,2019,6.0,French Open,,6.0
,0,5,Zverev A.,QF,,2019,2.0,French Open,,2.0
,2,6,Zverev A.,F,,2018,6.0,Masters Cup ATP,,
,0,4,Djokovic N.,F,,2018,3.0,Masters Cup ATP,,
,2,6,Djokovic N.,,,2018,6.0,Masters Cup ATP,,
,0,4,Zverev A.,,,2018,1.0,Masters Cup ATP,,
,2,6,Djokovic N.,SF,,2018,6.0,Shanghai,,
,0,2,Zverev A.,SF,,2018,1.0,Shanghai,,
,2,6,Zverev A.,F,,2017,6.0,Rome,,
,0,4,Djokovic N.,F,,2017,3.0,Rome,,
,2,6,Zverev A.,,,2015,6.0,Boodles Tennis Challenge,,
,0,4,Djokovic N.,,,2015,3.0,Boodles Tennis Challenge,,
