4,S,1,Match,Round,5,Year,2,Tournament,Surface,3
,2,7,Sinner J.,F,,2026,6.0,Monte Carlo,,
,0,65,Alcaraz C.,F,,2026,3.0,Monte Carlo,,
,2,7,Alcaraz C.,,,2026,7.0,Incheon - exhibition,,
,0,5,Sinner J.,,,2026,66.0,Incheon - exhibition,,
,2,7,Sinner J.,F,,2025,7.0,Masters Cup ATP,,
,0,64,Alcaraz C.,F,,2025,5.0,Masters Cup ATP,,
,2,6,Sinner J.,F,,2025,6.0,Six Kings Slam,,
,0,2,Alcaraz C.,F,,2025,4.0,Six Kings Slam,,
6.0,3,6,Alcaraz C.,F,,2025,3.0,US Open,,6.0
4.0,1,2,Sinner J.,F,,2025,6.0,US Open,,1.0
,1,5,Alcaraz C.,F,,2025,,Cincinnati,,
,0,0,Sinner J.,F,,2025,,Cincinnati,,
6.0,3,4,Sinner J.,F,,2025,6.0,Wimbledon,,6.0
4.0,1,6,Alcaraz C.,F,,2025,4.0,Wimbledon,,4.0
7.0,3,4,Alcaraz C.,F,7.0,2025,64.0,French Open,,6.0
63.0,2,6,Sinner J.,F,62.0,2025,7.0,French Open,,4.0
,2,7,Alcaraz C.,F,,2025,6.0,Rome,,
,0,65,Sinner J.,F,,2025,1.0,Rome,,
,2,65,Sinner J.,F,,2024,6.0,Riyadh - exhibition,,6.0
,1,7,Alcaraz C.,F,,2024,3.0,Riyadh - exhibition,,3.0
,2,66,Alcaraz C.,F,,2024,6.0,Beijing,,7.0
,1,7,Sinner J.,F,,2024,4.0,Beijing,,63.0
6.0,3,2,Alcaraz C.,SF,6.0,2024,6.0,French Open,,3.0
4.0,2,6,Sinner J.,SF,3.0,2024,3.0,French Open,,6.0
,2,1,Alcaraz C.,SF,,2024,6.0,Indian Wells,,6.0
,1,6,Sinner J.,SF,,2024,3.0,Indian Wells,,2.0
,2,7,Sinner J.,SF,,2023,6.0,Beijing,,
,0,64,Alcaraz C.,SF,,2023,1.0,Beijing,,
,2,64,Sinner J.,SF,,2023,6.0,Miami,,6.0
,1,7,Alcaraz C.,SF,,2023,4.0,Miami,,2.0
,2,7,Alcaraz C.,SF,,2023,6.0,Indian Wells,,
,0,64,Sinner J.,SF,,2023,3.0,Indian Wells,,
7.0,3,6,Alcaraz C.,QF,6.0,2022,67.0,US Open,,60.0
5.0,2,3,Sinner J.,QF,3.0,2022,7.0,US Open,,7.0
,2,65,Sinner J.,F,,2022,6.0,Umag,,6.0
,1,7,Alcaraz C.,F,,2022,1.0,Umag,,1.0
6.0,3,6,Sinner J.,R16,,2022,6.0,Wimbledon,,68.0
3.0,1,1,Alcaraz C.,R16,,2022,4.0,Wimbledon,,7.0
,2,7,Alcaraz C.,2R,,2021,7.0,Paris,,
,0,61,Sinner J.,2R,,2021,5.0,Paris,,
,2,6,Alcaraz C.,1R,,2019,3.0,Alicante challenger,,6.0
,1,2,Sinner J.,1R,,2019,6.0,Alicante challenger,,3.0
