4,S,1,Match,Round,5,Year,2,Tournament,Surface,3
,2,6,Sabalenka A.,F,,2026,4,Miami,,6.0
,1,2,Gauff C.,F,,2026,6,Miami,,3.0
,2,7,Sabalenka A.,,,2025,6,Masters Cup WTA,,
,0,65,Gauff C.,,,2025,2,Masters Cup WTA,,
,2,65,Gauff C.,F,,2025,6,French Open,,6.0
,1,7,Sabalenka A.,F,,2025,2,French Open,,4.0
,2,6,Sabalenka A.,F,,2025,7,Madrid WTA,,
,0,3,Gauff C.,F,,2025,63,Madrid WTA,,
,2,7,Gauff C.,SF,,2024,6,Masters Cup WTA,,
,0,64,Sabalenka A.,SF,,2024,3,Masters Cup WTA,,
,2,1,Sabalenka A.,SF,,2024,6,Wuhan,,6.0
,1,6,Gauff C.,SF,,2024,4,Wuhan,,4.0
,2,7,Sabalenka A.,SF,,2024,6,Australian Open,,
,0,62,Gauff C.,SF,,2024,4,Australian Open,,
,2,2,Gauff C.,F,,2023,6,US Open,,6.0
,1,6,Sabalenka A.,F,,2023,3,US Open,,2.0
,2,6,Sabalenka A.,QF,,2023,6,Indian Wells,,
,0,4,Gauff C.,QF,,2023,0,Indian Wells,,
,2,7,Gauff C.,R16,,2022,4,Toronto WTA,,7.0
,1,5,Sabalenka A.,R16,,2022,6,Toronto WTA,,64.0
,2,7,Gauff C.,R16,,2021,6,Rome WTA,,
,0,5,Sabalenka A.,R16,,2021,3,Rome WTA,,
,2,1,Sabalenka A.,R16,,2020,7,Ostrava WTA,,7.0
,1,6,Gauff C.,R16,,2020,5,Ostrava WTA,,62.0
,2,7,Gauff C.,R16,,2020,4,Lexington WTA,,6.0
,1,64,Sabalenka A.,R16,,2020,6,Lexington WTA,,4.0
