4,S,1,Match,Round,5,Year,2,Tournament,Surface,3
,3,6,Djokovic N.,F,,2023,7,US Open,,6.0
,0,3,Medvedev D.,F,,2023,65,US Open,,3.0
,2,6,Medvedev D.,SF,,2023,6,Dubai,,
,0,4,Djokovic N.,SF,,2023,4,Dubai,,
,2,6,Djokovic N.,SF,,2023,6,Adelaide,,
,0,3,Medvedev D.,SF,,2023,4,Adelaide,,
,2,6,Djokovic N.,,,2022,65,Masters Cup ATP,,7.0
,1,3,Medvedev D.,,,2022,7,Masters Cup ATP,,62.0
,1,4,Djokovic N.,SF,,2022,7,Astana,,
,0,6,Medvedev D.,SF,,2022,66,Astana,,
,2,4,Djokovic N.,F,,2021,6,Paris,,6.0
,1,6,Medvedev D.,F,,2021,3,Paris,,3.0
,3,6,Medvedev D.,F,,2021,6,US Open,,6.0
,0,4,Djokovic N.,F,,2021,4,US Open,,4.0
,3,7,Djokovic N.,F,,2021,6,Australian Open,,6.0
,0,5,Medvedev D.,F,,2021,2,Australian Open,,2.0
,2,6,Medvedev D.,,,2020,6,Masters Cup ATP,,
,0,3,Djokovic N.,,,2020,3,Masters Cup ATP,,
,2,6,Djokovic N.,,,2020,5,ATP Cup,,6.0
,1,1,Medvedev D.,,,2020,7,ATP Cup,,4.0
,2,3,Medvedev D.,SF,,2019,6,Cincinnati,,6.0
,1,6,Djokovic N.,SF,,2019,3,Cincinnati,,3.0
,2,6,Medvedev D.,QF,,2019,4,Monte Carlo,,6.0
,1,3,Djokovic N.,QF,,2019,6,Monte Carlo,,2.0
6.0,3,6,Djokovic N.,R16,,2019,65,Australian Open,,6.0
3.0,1,4,Medvedev D.,R16,,2019,7,Australian Open,,2.0
,2,6,Djokovic N.,SF,,2017,6,Eastbourne,,
,0,4,Medvedev D.,SF,,2017,4,Eastbourne,,
1.0,1,3,Djokovic N.,,,2017,6,Davis Cup,,6.0
0.0,0,6,Medvedev D.,,,2017,4,Davis Cup,,1.0
