4,S,1,Match,Round,5,Year,2,Tournament,Surface,3
,2,7,Sabalenka A.,SF,,2025,4.0,French Open,,6.0
,1,61,Swiatek I.,SF,,2025,6.0,French Open,,0.0
,2,6,Sabalenka A.,SF,,2024,6.0,Cincinnati WTA,,
,0,3,Swiatek I.,SF,,2024,3.0,Cincinnati WTA,,
,2,6,Swiatek I.,F,,2024,6.0,Rome WTA,,
,0,2,Sabalenka A.,F,,2024,3.0,Rome WTA,,
,2,7,Swiatek I.,F,,2024,4.0,Madrid WTA,,7.0
,1,5,Sabalenka A.,F,,2024,6.0,Madrid WTA,,67.0
,1,6,Sabalenka A.,,,2023,,World Tennis League,,
,0,4,Swiatek I.,,,2023,,World Tennis League,,
,2,6,Swiatek I.,SF,,2023,6.0,Masters Cup WTA,,
,0,3,Sabalenka A.,SF,,2023,2.0,Masters Cup WTA,,
,2,6,Sabalenka A.,F,,2023,3.0,Madrid WTA,,6.0
,1,3,Swiatek I.,F,,2023,6.0,Madrid WTA,,3.0
,2,6,Swiatek I.,F,,2023,6.0,Stuttgart,,
,0,3,Sabalenka A.,F,,2023,4.0,Stuttgart,,
,2,6,Swiatek I.,,,2022,6.0,World Tennis League,,
,0,1,Sabalenka A.,,,2022,3.0,World Tennis League,,
,2,6,Sabalenka A.,SF,,2022,2.0,Masters Cup WTA,,6.0
,1,2,Swiatek I.,SF,,2022,6.0,Masters Cup WTA,,1.0
,2,3,Swiatek I.,SF,,2022,6.0,US Open,,6.0
,1,6,Sabalenka A.,SF,,2022,1.0,US Open,,4.0
,2,6,Swiatek I.,SF,,2022,6.0,Rome WTA,,
,0,2,Sabalenka A.,SF,,2022,1.0,Rome WTA,,
,2,6,Swiatek I.,F,,2022,6.0,Stuttgart,,
,0,2,Sabalenka A.,F,,2022,2.0,Stuttgart,,
,2,6,Swiatek I.,QF,,2022,6.0,Doha,,
,0,2,Sabalenka A.,QF,,2022,3.0,Doha,,
,2,2,Sabalenka A.,,,2021,6.0,Masters Cup WTA,,7.0
,1,6,Swiatek I.,,,2021,2.0,Masters Cup WTA,,5.0
