4,S,1,Match,Round,5,Year,2,Tournament,Surface,3
,2,7,Rybakina E.,QF,,2026,6.0,Australian Open,,
,0,5,Swiatek I.,QF,,2026,1.0,Australian Open,,
,2,6,Swiatek I.,,,2025,6.0,Shenzhen - exhibition,,
,0,3,Rybakina E.,,,2025,3.0,Shenzhen - exhibition,,
,2,3,Rybakina E.,,,2025,6.0,Masters Cup WTA,,6.0
,1,6,Swiatek I.,,,2025,1.0,Masters Cup WTA,,0.0
,2,7,Swiatek I.,SF,,2025,6.0,Cincinnati WTA,,
,0,5,Rybakina E.,SF,,2025,3.0,Cincinnati WTA,,
,2,1,Swiatek I.,R16,,2025,6.0,French Open,,7.0
,1,6,Rybakina E.,R16,,2025,3.0,French Open,,5.0
,2,6,Swiatek I.,QF,,2025,7.0,Doha,,
,0,2,Rybakina E.,QF,,2025,5.0,Doha,,
,2,7,Swiatek I.,,,2025,6.0,United Cup,,
,0,65,Rybakina E.,,,2025,4.0,United Cup,,
,1,6,Swiatek I.,,,2024,,World Tennis League,,
,0,3,Rybakina E.,,,2024,,World Tennis League,,
,2,6,Rybakina E.,SF,,2024,4.0,Stuttgart,,6.0
,1,3,Swiatek I.,SF,,2024,6.0,Stuttgart,,3.0
,2,7,Swiatek I.,F,,2024,6.0,Doha,,
,0,68,Rybakina E.,F,,2024,2.0,Doha,,
,1,6,Swiatek I.,,,2023,,World Tennis League,,
,0,4,Rybakina E.,,,2023,,World Tennis League,,
,1,2,Rybakina E.,QF,,2023,7.0,Rome WTA,,2.0
,0,6,Swiatek I.,QF,,2023,63.0,Rome WTA,,2.0
,2,6,Rybakina E.,SF,,2023,6.0,Indian Wells,,
,0,2,Swiatek I.,SF,,2023,2.0,Indian Wells,,
,2,6,Rybakina E.,R16,,2023,6.0,Australian Open,,
,0,4,Swiatek I.,R16,,2023,4.0,Australian Open,,
,2,6,Rybakina E.,,,2022,6.0,World Tennis League,,
,0,3,Swiatek I.,,,2022,1.0,World Tennis League,,
,2,7,Swiatek I.,QF,,2021,6.0,Ostrava WTA,,
,0,65,Rybakina E.,QF,,2021,2.0,Ostrava WTA,,
