4,S,1,Match,Round,5,Year,2,Tournament,Surface,3
,2,6,Djokovic N.,,,2024,7,Riyadh - exhibition,,
,0,2,Nadal R.,,,2024,65,Riyadh - exhibition,,
,2,6,Djokovic N.,2R,,2024,6,Olympics - Paris,,
,0,1,Nadal R.,2R,,2024,4,Olympics - Paris,,
7.0,3,6,Nadal R.,QF,,2022,4,French Open,,6.0
64.0,1,2,Djokovic N.,QF,,2022,6,French Open,,2.0
6.0,3,3,Djokovic N.,SF,,2021,6,French Open,,7.0
2.0,1,6,Nadal R.,SF,,2021,3,French Open,,64.0
,2,7,Nadal R.,F,,2021,1,Rome,,6.0
,1,5,Djokovic N.,F,,2021,6,Rome,,3.0
,3,6,Nadal R.,F,,2020,6,French Open,,7.0
,0,0,Djokovic N.,F,,2020,2,French Open,,5.0
,2,6,Djokovic N.,,,2020,7,ATP Cup,,
,0,2,Nadal R.,,,2020,64,ATP Cup,,
,2,6,Nadal R.,F,,2019,4,Rome,,6.0
,1,0,Djokovic N.,F,,2019,6,Rome,,1.0
,3,6,Djokovic N.,F,,2019,6,Australian Open,,6.0
,0,3,Nadal R.,F,,2019,2,Australian Open,,3.0
3.0,3,6,Djokovic N.,SF,10.0,2018,3,Wimbledon,,7.0
6.0,2,4,Nadal R.,SF,8.0,2018,6,Wimbledon,,69.0
,2,7,Nadal R.,SF,,2018,6,Rome,,
,0,64,Djokovic N.,SF,,2018,3,Rome,,
,2,6,Nadal R.,SF,,2017,6,Madrid,,
,0,2,Djokovic N.,SF,,2017,4,Madrid,,
,2,7,Djokovic N.,QF,,2016,7,Rome,,
,0,5,Nadal R.,QF,,2016,64,Rome,,
,2,7,Djokovic N.,SF,,2016,6,Indian Wells,,
,0,65,Nadal R.,SF,,2016,2,Indian Wells,,
,2,6,Djokovic N.,F,,2016,6,Doha,,
,0,1,Nadal R.,F,,2016,2,Doha,,
,2,6,Djokovic N.,SF,,2015,6,Masters Cup ATP,,
,0,3,Nadal R.,SF,,2015,3,Masters Cup ATP,,
