4,S,1,Match,Round,5,Year,2,Tournament,Surface,3
,3,7.0,Djokovic N.,SF,,2020,6.0,Australian Open,,6.0
,0,61.0,Federer R.,SF,,2020,4.0,Australian Open,,3.0
,2,6.0,Federer R.,,,2019,6.0,Masters Cup ATP,,
,0,4.0,Djokovic N.,,,2019,3.0,Masters Cup ATP,,
4.0,3,7.0,Djokovic N.,F,13.0,2019,1.0,Wimbledon,,7.0
6.0,2,65.0,Federer R.,F,12.0,2019,6.0,Wimbledon,,64.0
,2,7.0,Djokovic N.,SF,,2018,5.0,Paris,,7.0
,1,66.0,Federer R.,SF,,2018,7.0,Paris,,63.0
,2,6.0,Djokovic N.,F,,2018,6.0,Cincinnati,,
,0,4.0,Federer R.,F,,2018,4.0,Cincinnati,,
6.0,3,6.0,Djokovic N.,SF,,2016,6.0,Australian Open,,3.0
3.0,1,1.0,Federer R.,SF,,2016,2.0,Australian Open,,6.0
,2,6.0,Djokovic N.,F,,2015,6.0,Masters Cup ATP,,
,0,3.0,Federer R.,F,,2015,4.0,Masters Cup ATP,,
,2,7.0,Federer R.,,,2015,6.0,Masters Cup ATP,,
,0,5.0,Djokovic N.,,,2015,2.0,Masters Cup ATP,,
6.0,3,6.0,Djokovic N.,F,,2015,5.0,US Open,,6.0
4.0,1,4.0,Federer R.,F,,2015,7.0,US Open,,4.0
,2,7.0,Federer R.,F,,2015,6.0,Cincinnati,,
,0,61.0,Djokovic N.,F,,2015,3.0,Cincinnati,,
6.0,3,7.0,Djokovic N.,F,,2015,610.0,Wimbledon,,6.0
3.0,1,61.0,Federer R.,F,,2015,7.0,Wimbledon,,4.0
,2,6.0,Djokovic N.,F,,2015,6.0,Rome,,
,0,4.0,Federer R.,F,,2015,3.0,Rome,,
,2,6.0,Djokovic N.,F,,2015,65.0,Indian Wells,,6.0
,1,3.0,Federer R.,F,,2015,7.0,Indian Wells,,2.0
,2,6.0,Federer R.,F,,2015,7.0,Dubai,,
,0,3.0,Djokovic N.,F,,2015,5.0,Dubai,,
,1,6.0,Federer R.,,,2014,,Int. Premier Tennis League,,
,0,5.0,Djokovic N.,,,2014,,Int. Premier Tennis League,,
,1,,Djokovic N.,F,,2014,,Masters Cup ATP,,
,0,,Federer R.,F,,2014,,Masters Cup ATP,,
,2,6.0,Federer R.,SF,,2014,6.0,Shanghai,,
,0,4.0,Djokovic N.,SF,,2014,4.0,Shanghai,,
5.0,3,67.0,Djokovic N.,F,6.0,2014,6.0,Wimbledon,,7.0
7.0,2,7.0,Federer R.,F,4.0,2014,4.0,Wimbledon,,64.0
,2,7.0,Federer R.,SF,,2014,6.0,Monte Carlo,,
