4,S,1,Match,Round,5,Year,2,Tournament,Surface,3
6.0,3,7.0,Federer R.,SF,,2019,1.0,Wimbledon,,6.0
4.0,1,63.0,Nadal R.,SF,,2019,6.0,Wimbledon,,3.0
,3,6.0,Nadal R.,SF,,2019,6.0,French Open,,6.0
,0,3.0,Federer R.,SF,,2019,4.0,French Open,,2.0
,1,,Federer R.,SF,,2019,,Indian Wells,,
,0,,Nadal R.,SF,,2019,,Indian Wells,,
,2,6.0,Federer R.,F,,2017,6.0,Shanghai,,
,0,4.0,Nadal R.,F,,2017,3.0,Shanghai,,
,2,6.0,Federer R.,F,,2017,6.0,Miami,,
,0,3.0,Nadal R.,F,,2017,4.0,Miami,,
,2,6.0,Federer R.,R16,,2017,6.0,Indian Wells,,
,0,2.0,Nadal R.,R16,,2017,3.0,Indian Wells,,
3.0,3,6.0,Federer R.,F,6.0,2017,3.0,Australian Open,,6.0
6.0,2,4.0,Nadal R.,F,3.0,2017,6.0,Australian Open,,1.0
,1,67.0,Nadal R.,,,2015,,Int. Premier Tennis League,,
,0,5.0,Federer R.,,,2015,,Int. Premier Tennis League,,
,2,6.0,Federer R.,F,,2015,5.0,Basel,,6.0
,1,3.0,Nadal R.,F,,2015,7.0,Basel,,3.0
,3,7.0,Nadal R.,SF,,2014,6.0,Australian Open,,6.0
,0,64.0,Federer R.,SF,,2014,3.0,Australian Open,,3.0
,2,7.0,Nadal R.,SF,,2013,6.0,Masters Cup ATP,,
,0,5.0,Federer R.,SF,,2013,3.0,Masters Cup ATP,,
,2,5.0,Nadal R.,QF,,2013,6.0,Cincinnati,,6.0
,1,7.0,Federer R.,QF,,2013,4.0,Cincinnati,,3.0
,2,6.0,Nadal R.,F,,2013,6.0,Rome,,
,0,1.0,Federer R.,F,,2013,3.0,Rome,,
,2,6.0,Nadal R.,QF,,2013,6.0,Indian Wells,,
,0,4.0,Federer R.,QF,,2013,2.0,Indian Wells,,
,2,6.0,Federer R.,SF,,2012,6.0,Indian Wells,,
,0,3.0,Nadal R.,SF,,2012,4.0,Indian Wells,,
6.0,3,65.0,Nadal R.,SF,,2012,6.0,Australian Open,,7.0
4.0,1,7.0,Federer R.,SF,,2012,2.0,Australian Open,,65.0
,2,6.0,Nadal R.,,,2012,7.0,Abu Dhabi - exh.,,
,0,1.0,Federer R.,,,2012,5.0,Abu Dhabi - exh.,,
,2,6.0,Federer R.,,,2011,6.0,Masters Cup ATP,,
,0,3.0,Nadal R.,,,2011,0.0,Masters Cup ATP,,
6.0,3,7.0,Nadal R.,F,,2011,7.0,French Open,,5.0
1.0,1,5.0,Federer R.,F,,2011,63.0,French Open,,7.0
,2,5.0,Nadal R.,SF,,2011,6.0,Madrid,,6.0
,1,7.0,Federer R.,SF,,2011,1.0,Madrid,,3.0
,2,6.0,Nadal R.,SF,,2011,6.0,Miami,,
,0,3.0,Federer R.,SF,,2011,2.0,Miami,,
,2,7.0,Nadal R.,F,,2011,7.0,Abu Dhabi - exh.,,
,0,6.0,Federer R.,F,,2011,6.0,Abu Dhabi - exh.,,
,2,6.0,Federer R.,F,,2010,3.0,Masters Cup ATP,,6.0
,1,3.0,Nadal R.,F,,2010,6.0,Masters Cup ATP,,1.0
,2,6.0,Nadal R.,F,,2010,7.0,Madrid,,
,0,4.0,Federer R.,F,,2010,65.0,Madrid,,
,2,6.0,Federer R.,F,,2009,6.0,Madrid,,
,0,4.0,Nadal R.,F,,2009,4.0,Madrid,,
3.0,3,7.0,Nadal R.,F,6.0,2009,3.0,Australian Open,,7.0
6.0,2,5.0,Federer R.,F,2.0,2009,6.0,Australian Open,,63.0
6.0,3,6.0,Nadal R.,F,9.0,2008,6.0,Wimbledon,,6.0
7.0,2,4.0,Federer R.,F,7.0,2008,4.0,Wimbledon,,7.0
,3,6.0,Nadal R.,F,,2008,6.0,French Open,,6.0
,0,1.0,Federer R.,F,,2008,3.0,French Open,,0.0
,2,7.0,Nadal R.,F,,2008,6.0,Hamburg,,6.0
,1,5.0,Federer R.,F,,2008,7.0,Hamburg,,3.0
,2,7.0,Nadal R.,F,,2008,7.0,Monte Carlo,,
,0,5.0,Federer R.,F,,2008,5.0,Monte Carlo,,
,2,6.0,Federer R.,SF,,2007,6.0,Masters Cup ATP,,
,0,4.0,Nadal R.,SF,,2007,1.0,Masters Cup ATP,,
2.0,3,7.0,Federer R.,F,6.0,2007,4.0,Wimbledon,,7.0
6.0,2,6.0,Nadal R.,F,2.0,2007,6.0,Wimbledon,,6.0
6.0,3,6.0,Nadal R.,F,,2007,4.0,French Open,,6.0
4.0,1,3.0,Federer R.,F,,2007,6.0,French Open,,3.0
,2,2.0,Federer R.,F,,2007,6.0,Hamburg,,6.0
,1,6.0,Nadal R.,F,,2007,2.0,Hamburg,,0.0
,2,6.0,Nadal R.,F,,2007,6.0,Monte Carlo,,
,0,4.0,Federer R.,F,,2007,4.0,Monte Carlo,,
,2,6.0,Federer R.,SF,,2006,7.0,Masters Cup ATP,,
,0,4.0,Nadal R.,SF,,2006,5.0,Masters Cup ATP,,
6.0,3,6.0,Federer R.,F,,2006,7.0,Wimbledon,,6.0
3.0,1,0.0,Nadal R.,F,,2006,6.0,Wimbledon,,7.0
7.0,3,1.0,Nadal R.,F,,2006,6.0,French Open,,6.0
6.0,1,6.0,Federer R.,F,,2006,1.0,French Open,,4.0
