date,tournament,player1,player2,odd1,odd2
2025-01-01,United Cup,Fritz T.,Zhang Z.,1.13,5.73
2025-01-01,United Cup,De Minaur A.,Harris B.,1.05,9.69
2025-01-01,United Cup,Shevchenko A.,Masur D.,1.04,7.01
2025-01-01,United Cup,Machac T.,Hurkacz H.,1.75,2.04
2025-01-01,Brisbane,Thompson J. (8),Michelsen A.,1.69,2.16
2025-01-01,Brisbane,Dimitrov G. (2),Vukic A.,1.2,4.52
2025-01-01,Brisbane,Jarry N.,Bonzi B.,2.49,1.53
2025-01-01,Brisbane,Lehecka J.,Nishioka Y.,1.41,2.89
2025-01-01,Hong Kong ATP,Nishikori K.,Khachanov K. (3),2.17,1.67
2025-01-01,Hong Kong ATP,Fils A. (4),Bergs Z.,1.45,2.7
2025-01-01,Hong Kong ATP,Norrie C.,Sonego L.,1.6,2.31
2025-01-01,Hong Kong ATP,Muller A.,Kecmanovic M.,2.79,1.43
2025-01-01,Noumea challenger,Fucsovics M. (2),Janvier M.,1.17,4.74
2025-01-01,Noumea challenger,Rodionov J. (6),Paire B.,1.44,2.64
2025-01-01,Noumea challenger,Lestienne C. (8),Holmgren A.,1.58,2.28
2025-01-01,Noumea challenger,Couacaud E.,Takahashi Y.,1.3,3.38
2025-01-01,Noumea challenger,Bouzige M.,Camus C.,1.22,3.97
2025-01-01,Noumea challenger,Vacherot V. (4),Taguchi R.,1.24,3.77
2025-01-01,Noumea challenger,Ichikawa T.,Brouwer G. (7),7.25,1.08
2025-01-01,Noumea challenger,Mochizuki S.,Ilagan A.,1.53,2.38
2025-01-01,Canberra 2 challenger,Landaluce M.,Sweeny D.,1.14,5.27
2025-01-01,Canberra 2 challenger,Fonseca J.,Ajdukovic D.,1.17,4.81
2025-01-01,Canberra 2 challenger,Watanuki Y.,Burruchaga R.,1.4,2.78
2025-01-01,Canberra 2 challenger,Quinn E.,Kypson P.,1.75,2.0
2025-01-01,Canberra 2 challenger,Eubanks C.,Galarneau A.,1.68,2.1
2025-01-01,Canberra 2 challenger,Kopriva V.,Dzumhur D. (3),1.85,1.83
2025-01-01,Canberra 2 challenger,Fearnley J. (6),Trotter J.,1.54,2.4
2025-01-01,Canberra 2 challenger,Mayot H.,Galan D.,1.64,2.17
2025-01-01,Nonthaburi challenger,Karatsev A.,Hassan B. (8),1.44,2.61
2025-01-01,Nonthaburi challenger,Barrere G. (2),Svrcina D.,2.02,1.72
2025-01-01,Nonthaburi challenger,Dalla Valle E.,Trungelliti M. (1),2.2,1.62
2025-01-01,Nonthaburi challenger,Sultanov K.,Moriya H.,1.47,2.55
2025-01-01,Nonthaburi challenger,Mager G.,Droguet T. (4),2.75,1.41
2025-01-01,Nonthaburi challenger,Neumayer L.,Denolly C.,1.25,3.67
2025-01-01,Nonthaburi challenger,Sakamoto R.,Chidekh C. (5),2.33,1.56
2025-01-01,Nonthaburi challenger,Coppejans K.,Tabur C.,1.54,2.37
2025-01-01,Futures 2024,Bax F.,Kamath M.,1.1,6.06
2025-01-01,Futures 2024,Zhukov M.,Ramanathan R.,2.57,1.45
2025-01-01,Futures 2024,Agafonov E.,Jaisinghani R.,1.06,7.73
2025-01-01,Futures 2024,Vithoontien L.,Chen X.,1.61,2.17
2025-01-01,Futures 2024,Park S.,Hudd E.,5.05,1.14
2025-01-01,Futures 2024,Huang T.,Yamanaka T.,1.85,1.84
2025-01-01,Futures 2024,Sumizawa D.,Kusuhara Y.,1.77,1.93
2025-01-01,Futures 2024,Nakagawa S.,Bittoun Kouzmine C.,2.06,1.69
2025-01-01,Futures 2024,Nandal Y.,Inui Y.,1.57,2.27
2025-01-01,Futures 2024,Gray A.,Kalyanpur A.,1.07,7.0
2025-01-01,Futures 2024,Matsuoka H.,Bobrov B.,1.84,1.84
2025-01-01,Futures 2024,Javia D.,Suresh K.,1.03,11.17
2025-01-01,Futures 2024,Crawford O.,Fomin S.,1.67,2.09
2025-01-01,Futures 2024,Banerjee S.,Vanshelboim E.,1.37,2.87
2025-01-01,Futures 2024,Suresh D.,Lomakin G.,1.14,4.96
2025-01-01,Futures 2024,Orlov V.,Eqbal I.,1.13,5.33
2025-01-01,Futures 2024,Erhard M.,Sureshkumar M.,1.25,3.57
2025-01-01,Futures 2024,Rawat S.,Munim D.,1.05,8.5
2025-01-01,Futures 2024,Dzhavakian Y.,Vishwakarma S.,1.51,2.46
2025-01-01,Futures 2024,Shah A.,Sinha N.,1.23,3.81
2025-01-01,Futures 2024,Duhan C.,Dev S.,3.24,1.3
2025-01-01,Futures 2024,Vardhan V.,Palan D.,3.0,1.34
2025-01-01,Futures 2024,Chung H.,Tomida Y.,1.14,4.97
2025-01-01,Futures 2024,Ferguson C.,Lee D.,2.93,1.35
2025-01-01,Futures 2024,Kukasian A.,Arutiunian E.,2.41,1.52
2025-01-01,Futures 2024,Sornlaksup P.,Masabayashi T.,1.84,1.85
2025-01-01,Futures 2024,M Rifki F.,Parikh H.,1.1,5.93
2025-01-01,Futures 2024,Hussey G.,Khazime D.,1.1,5.93
2025-01-01,UTR Pro Tennis Series 3,Tripathi A.,Papa C.,1.38,2.68
2025-01-01,UTR Pro Tennis Series 3,Butera L.,Adesoro A.,2.33,1.51
2025-01-01,UTR Pro Tennis Series 3,Thomas D.,Wells C.,1.56,2.22
2025-01-01,UTR Pro Tennis Series 3,Van Loben Sels E.,Sun Q.,1.06,6.58
2025-01-01,UTR Pro Tennis Series 3,Lokko R.,Shokry E.,3.58,1.23
2025-01-01,UTR Pro Tennis Series 3,Hoogmartens A.,Djakouris C.,1.56,2.22
2025-01-01,UTR Pro Tennis Series 3,Yaffa D.,Antwi S.,1.47,2.43
2025-01-01,UTR Pro Tennis Series 3,Makk P.,Chung J.,1.07,6.17
2025-01-01,UTR Pro Tennis Series 3,Vishal Balsekar A.,Guzauskas G.,3.58,1.23
2025-01-01,UTR Pro Tennis Series 3,Ndumbe E.,Oivas Quiroz H.,1.51,2.31
2025-01-01,UTR Pro Tennis Series 3,Djakouris A.,Mazev M.,1.32,3.02
2025-01-01,UTR Pro Tennis Series 3,Rajski M.,Perera M.,1.13,4.7
2025-01-01,UTR Pro Tennis Series 3,Bracks I.,Alkotop M.,3.35,1.26
2025-01-01,UTR Pro Tennis Series 3,Jones R.,Harazaki A.,1.1,5.42
2025-01-01,UTR Pro Tennis Series 3,Hanchaikul P.,Bracks L.,1.02,9.17
