country,player,points,rank
Italy,Sinner Jannik,13500,1.0
Spain,Alcaraz Carlos,9960,2.0
Germany,Zverev Alexander,7190,3.0
Canada,Auger Aliassime Felix,4390,4.0
USA,Shelton Ben,4070,5.0
Australia,De Minaur Alex,4060,6.0
Russia,Medvedev Daniil,3810,7.0
Serbia,Djokovic Novak,3760,8.0
USA,Fritz Taylor,3635,9.0
Italy,Cobolli Flavio,3540,10.0
Kazakhstan,Bublik Alexander,3020,11.0
Czech Republic,Lehecka Jiri,2640,12.0
Russia,Rublev Andrey,2460,13.0
Norway,Ruud Casper,2425,14.0
Italy,Musetti Lorenzo,2315,15.0
Czech Republic,Mensik Jakub,2300,16.0
Italy,Darderi Luciano,2300,17.0
Russia,Khachanov Karen,2280,18.0
USA,Tien Learner,2270,19.0
Monaco,Vacherot Valentin,2138,20.0
France,Fils Arthur,1940,21.0
Spain,Davidovich Fokina Alejandro,1860,22.0
Spain,Jodar Rafael,1849,23.0
France,Rinderknech Arthur,1776,24.0
Brazil,Fonseca Joao,1735,25.0
USA,Tiafoe Frances,1730,26.0
Argentina,Cerundolo Francisco,1660,27.0
USA,Paul Tommy,1645,28.0
Great Britain,Norrie Cameron,1595,29.0
Argentina,Etcheverry Tomas Martin,1510,30.0
Chile,Tabilo Alejandro,1428,31.0
USA,Nakashima Brandon,1385,32.0
France,Humbert Ugo,1360,33.0
Italy,Arnaldi Matteo,1336,34.0
Peru,Buse Ignacio,1316,35.0
France,Moutet Corentin,1283,36.0
Belgium,Blockx Alexander,1275,37.0
USA,Michelsen Alex,1205,38.0
Argentina,Navone Mariano,1165,39.0
Netherlands,Griekspoor Tallon,1165,40.0
Canada,Shapovalov Denis,1130,41.0
Czech Republic,Machac Tomas,1120,42.0
Spain,Munar Jaume,1105,43.0
France,Mannarino Adrian,1099,44.0
Argentina,Cerundolo Juan Manuel,1055,45.0
Croatia,Cilic Marin,1036,46.0
Poland,Majchrzak Kamil,1032,47.0
Belgium,Bergs Zizou,1010,48.0
Italy,Berrettini Matteo,985,49.0
Serbia,Kecmanovic Miomir,980,50.0
