country,player,points,rank
Belarus,Sabalenka Aryna,9090,1.0
Kazakhstan,Rybakina Elena,8143,2.0
Poland,Swiatek Iga,6733,3.0
USA,Pegula Jessica,6056,4.0
Russia,Andreeva Mirra,5751,5.0
USA,Anisimova Amanda,5631,6.0
USA,Gauff Coco,4879,7.0
Ukraine,Svitolina Elina,4315,8.0
Canada,Mboko Victoria,3670,9.0
Czech Republic,Muchova Karolina,3388,10.0
Switzerland,Bencic Belinda,3385,11.0
Ukraine,Kostyuk Marta,3157,12.0
Czech Republic,Noskova Linda,3054,13.0
Italy,Paolini Jasmine,2617,14.0
Japan,Osaka Naomi,2571,15.0
Russia,Shnaider Diana,2458,16.0
USA,Jovic Iva,2436,17.0
Romania,Cirstea Sorana-Mihaela,2415,18.0
Russia,Alexandrova Ekaterina,2411,19.0
Russia,Kalinskaya Anna,2212,20.0
Poland,Chwalinska Maja,1996,21.0
Canada,Fernandez Leylah,1844,22.0
Denmark,Tauson Clara,1800,23.0
Belgium,Mertens Elise,1698,24.0
USA,Navarro Emma,1681,25.0
Austria,Potapova Anastasia,1669,26.0
Czech Republic,Bouzkova Marie,1659,27.0
USA,Keys Madison,1642,28.0
USA,Li Ann,1601,29.0
USA,Baptiste Hailey,1513,30.0
Great Britain,Raducanu Emma,1458,31.0
China,Wang Xinyu,1431,32.0
Croatia,Vekic Donna,1431,33.0
Czech Republic,Siniakova Katerina,1422,34.0
Philippines,Eala Alexandra,1422,35.0
Spain,Bucsa Cristina,1406,36.0
Russia,Samsonova Liudmila,1405,37.0
Latvia,Ostapenko Jelena,1404,38.0
Czech Republic,Krejcikova Barbora,1373,39.0
Romania,Cristian Jaqueline,1324,40.0
Greece,Sakkari Maria,1299,41.0
Germany,Siegemund Laura,1289,42.0
Indonesia,Tjen Janice,1267,43.0
USA,Kessler McCartney,1261,44.0
Poland,Frech Magdalena,1238,45.0
Italy,Cocciaretto Elisabetta,1192,46.0
Czech Republic,Bejlek Sara,1179,47.0
Poland,Linette Magda,1139,48.0
Czech Republic,Vondrousova Marketa,1133,49.0
Ukraine,Yastremska Dayana,1126,50.0
