date,tournament,player1,player2,sets1,sets2,score,odd1,odd2
2025-01-01,United Cup,Gauff C.,Zhang S.,2,0,7-64 6-2,1.03,14.08
2025-01-01,United Cup,Boulter K.,Gadecki O.,2,0,6-2 6-1,1.27,3.72
2025-01-01,United Cup,Rybakina E.,Siegemund L.,2,0,6-3 6-1,1.09,7.17
2025-01-01,United Cup,Swiatek I.,Muchova K.,2,0,6-3 6-4,1.37,3.03
2025-01-01,Brisbane,Noskova L. (12),Todoni A.,2,0,6-1 6-4,1.45,2.74
2025-01-01,Brisbane,Azarenka V. (10),Joint M.,2,1,65-7 6-2 6-4,1.39,3.00
2025-01-01,Brisbane,Yuan Y.,Kostyuk M. (9),2,0,6-4 6-3,2.60,1.49
2025-01-01,Brisbane,Lamens S.,Frech M. (11),2,0,7-5 6-3,2.26,1.63
2025-01-01,Brisbane,Potapova A.,Yastremska D. (16),2,0,7-5 6-4,1.54,2.46
2025-01-01,Brisbane,Kasatkina D. (3),Stearns P.,2,1,7-67 4-6 7-5,1.75,2.06
2025-01-01,Brisbane,Kudermetova P.,Samsonova L. (13),2,1,67-7 6-3 6-2,2.24,1.64
2025-01-01,Brisbane,Birrell K.,Navarro E. (2),2,0,7-5 7-5,4.65,1.19
2025-01-01,Auckland,Volynets K. (8),Li A.,2,0,6-4 6-3,1.73,2.09
2025-01-01,Auckland,Tauson C. (5),Kenin S.,2,1,4-6 7-67 7-63,1.70,2.13
2025-01-01,Auckland,Osaka N. (7),Grabher J.,2,0,7-5 6-3,1.04,11.64
2025-01-01,Canberra WTA,Eala A.,Hartono A.,2,0,6-3 6-3,1.44,2.70
2025-01-01,Canberra WTA,Stojanovic N.,Hule P.,2,0,6-2 6-3,1.30,3.37
2025-01-01,Canberra WTA,Selekhmeteva O.,Galfi D.,2,1,6-3 2-6 7-5,1.82,1.94
2025-01-01,Canberra WTA,Waltert S.,Jacquemot E.,2,0,6-1 6-4,1.95,1.81
2025-01-01,Canberra WTA,Preston T.,Stakusic M. (6),2,1,4-6 6-3 6-1,2.38,1.55
2025-01-01,Canberra WTA,Ito A. (7),Sasnovich A.,2,0,6-1 6-2,2.09,1.70
2025-01-01,Canberra WTA,Parrizas-Diaz N. (1),Saito S.,2,0,6-2 6-4,1.65,2.16
2025-01-01,Canberra WTA,Wei S.,Sawangkaew M. (8),2,0,6-3 6-2,1.87,1.88
2025-01-01,Nonthaburi ITF,Mateas M. (8),Kulikova A.,2,0,7-64 6-1,1.73,1.98
2025-01-01,Nonthaburi ITF,Okamura K. (6),Zheng W.,2,1,6-3 0-6 6-3,1.99,1.74
2025-01-01,Nonthaburi ITF,Saigo R.,Astakhova D.,2,1,2-6 6-4 7-65,1.77,1.85
2025-01-01,Nonthaburi ITF,Vandewinkel H. (5),Chong E.,2,1,4-6 6-1 7-5,1.41,2.54
2025-01-01,Nonthaburi ITF,Jang S.,Kuramochi M.,2,0,6-2 7-5,1.56,2.44
2025-01-01,Nonthaburi ITF,Yamalapalli S.,Yodpetch K.,2,0,6-3 6-4,1.16,4.59
2025-01-01,Nonthaburi ITF,Lu J.,Chaudhari V.,2,1,3-6 6-4 6-2,2.06,1.68
2025-01-01,Nonthaburi ITF,Shi H. (3),Rogers A.,2,0,6-4 6-0,1.56,2.25
2025-01-01,Nonthaburi ITF,Wong H.,Craciun G.,2,0,6-4 7-67,1.69,1.91
2025-01-01,Nonthaburi ITF,Yao X.,Yamaguchi M.,2,0,7-5 7-5,2.28,1.51
2025-01-01,Nairobi 3 ITF,Garland J. (1),Jamshidi E.,2,0,6-4 6-1,1.07,6.70
2025-01-01,Nairobi 3 ITF,Laskutova K. (3),Van Poppel E.,2,0,6-3 6-3,1.04,8.92
2025-01-01,Nairobi 3 ITF,Stankiewicz M.,Nahimana S. (2),2,0,7-5 7-5,1.69,2.06
2025-01-01,Nairobi 3 ITF,Mikaul G.,Kalluri L.,2,0,6-2 6-2,1.34,3.07
2025-01-01,Nairobi 3 ITF,Xiao L.,Pathania V.,2,1,2-6 6-3 7-68,1.19,3.88
2025-01-01,Nairobi 3 ITF,Panwar Y.,Tuyishime S.,2,0,6-0 6-0,,
2025-01-01,Nairobi 3 ITF,Higashitani N.,Youri E.,2,0,6-3 6-4,1.39,2.76
